Number;Number_extra;Count;Year;Editor;Image_src;Pages;Size;Link;Notes;Title;Alternate_numbering
4;;;1999;Nikkonen, Raimo;;156;B5;;Kansi: Hannu Lipponen;;
1;;;2000;Nikkonen, Raimo;;156;B5;;Kansi: Hannu Lipponen;;
2;;;2000;Nikkonen, Raimo;;140;B5;;Kansi: Hannu Lipponen;;
3;;;2000;Nikkonen, Raimo;;124;B5;;Kansi: Hannu Lipponen;;
4;;;2000;Nikkonen, Raimo;;140;B5;;Kansi: Hannu Lipponen;;
1;;;2001;Nikkonen, Raimo;;140;B5;;Kansi: Hannu Lipponen;;
2;;;2001;Nikkonen, Raimo;;140;B5;;Kansi: Hannu Lipponen;;
3;;;2001;Nikkonen, Raimo;;132;B5;;Kansi: Hannu Parviainen;;
4;;;2001;Nikkonen, Raimo;;140;B5;;Kansi: Kari T. Leppänen;;
1;;;2002;Nikkonen, Raimo;;156;B5;;Kansi: Kari T. Leppänen;;
2;;;2002;Nikkonen, Raimo;;140;B5;;Kansi: Kari T. Leppänen;;
3;;;2002;Nikkonen, Raimo;;156;B5;;Kansi: Marko Keränen;;
4;;;2002;Nikkonen, Raimo;;140;B5;;Kansi: Marko Keränen;;
1;;;2003;Nikkonen, Raimo;;140;B5;;Kansi: Marko Keränen;;
2;;;2003;Nikkonen, Raimo;;132;B5;;Kansi: Ville Hyyrynen;;
3;;;2003;Nikkonen, Raimo;;132;B5;;Kansi: Marko Keränen;;
4;;;2003;Nikkonen, Raimo;;124;B5;;Kansi: Hannu Lipponen;;
1;;;2004;Nikkonen, Raimo;;124;B5;;Kansi: Hannu Lipponen;;
2;;;2004;Nikkonen, Raimo;;132;B5;;Kansi: Hannu Lipponen;;
3;;;2004;Nikkonen, Raimo;;132;B5;;Kansi: Hannu Lipponen;;
4;;;2004;Nikkonen, Raimo;;140;B5;;Kansi: Kari T. Leppänen;;
1;;;2005;Nikkonen, Raimo;;132;B5;;Kansi: Hannu Lipponen;;
2;;;2005;Nikkonen, Raimo;;132;B5;;Kansi: Kari T. Leppänen;;
3;;;2005;Nikkonen, Raimo;;132;B5;;Kansi: Hannu Lipponen;;
4;;;2005;Nikkonen, Raimo;;140;B5;;Kansi: Jukka Murtosaari;;
1;;;2006;Nikkonen, Raimo;;140;B5;;Kansi: Kari T. Leppänen;;
2;;;2006;Nikkonen, Raimo;;132;B5;;Kansi: Kari T. Leppänen;;
3;;;2006;Nikkonen, Raimo;;132;B5;;Kansi: Kari T. Leppänen;;
4;;;2006;Nikkonen, Raimo;;156;B5;;Kansi: Hannu Lipponen;;
1;;;2007;Nikkonen, Raimo;;132;B5;;Kansi: Hannu Lipponen;;
2;;;2007;Nikkonen, Raimo;;124;B5;;Kansi: Hannu Lipponen;;
3;;;2007;Nikkonen, Raimo;;132;B5;;Kansi: Hannu Lipponen;;
4;;;2007;Nikkonen, Raimo;;132;B5;;Kansi: Hannu Lipponen;;
1;;;2008;Nikkonen, Raimo;;132;B5;;Kansi: Hannu Lipponen;;
2;;;2008;Nikkonen, Raimo;;124;B5;;Kansi: Hannu Lipponen;;
3;;;2008;Nikkonen, Raimo;;132;B5;;Kansi: Hannu Lipponen;;
4;;;2008;Nikkonen, Raimo;;132;B5;;Kansi: Hannu Lipponen;;
1;;;2009;Nikkonen, Raimo;;100;B5;;Kansi: Hannu Lipponen;;
2;;;2009;Nikkonen, Raimo;;100;B5;;Kansi: Hannu Lipponen;;
3;;;2009;Nikkonen, Raimo;;116;B5;;Kansi: Hannu Lipponen;;
4;;;2009;Nikkonen, Raimo;;132;B5;;Kansi: Marko Keränen;;
1;;;2010;Nikkonen, Raimo;;116;B5;;Kansi: Hannu Lipponen;;
2;;;2010;Nikkonen, Raimo;;116;B5;;Kansi: Marko Keränen;;
3;;;2010;Nikkonen, Raimo;;132;B5;;Kansi: Marko Keränen;;
4;;;2010;Nikkonen, Raimo;;124;B5;;Kansi: Marko Keränen;;
1;;;2011;Nikkonen, Raimo;;132;B5;;Kansi: Marko Keränen;;
2;;;2011;Nikkonen, Raimo;;116;B5;;Kansi: Marko Keränen;;
3;;;2011;Nikkonen, Raimo;;132;B5;;Kansi: Marko Keränen;;
4;;;2011;Nikkonen, Raimo;;132;B5;;Kansi: Marko Keränen;;
1;;;2012;Nikkonen, Raimo;;124;B5;;Kansi: Kari T. Leppänen;;
2;;;2012;Nikkonen, Raimo;;116;B5;;Kansi: Marko Keränen;;
3;;;2012;Nikkonen, Raimo;;124;B5;;Kansi: Hannu Lipponen;;
4;;;2012;Nikkonen, Raimo;;132;B5;;Kansi: Hannu Lipponen;;
1;;;2013;Nikkonen, Raimo;;132;B5;;Kansi: Kari T. Leppänen;;
2;;;2013;Nikkonen, Raimo;;140;B5;;Kansi: Kari T. Leppänen;;
3;;;2013;Nikkonen, Raimo;;116;B5;;Kansi: Kari T. Leppänen;;
4;;;2013;Nikkonen, Raimo;;124;B5;;Kansi: Kari T. Leppänen;;
1;;;2014;Nikkonen, Raimo;;124;B5;;Kansi: Kari T. Leppänen;;
2;;;2014;Nikkonen, Raimo;;108;B5;;Kansi: Marko Keränen;;
3;;;2014;Nikkonen, Raimo;;116;B5;;Kansi: Marko Keränen;;
4;;;2014;Nikkonen, Raimo;;132;B5;;Kansi: Marko Keränen;;
1;;;2015;Nikkonen, Raimo;;132;B5;;Kansi: Marko Keränen;;
2;;;2015;Nikkonen, Raimo;;124;B5;;Kansi: Marko Keränen;;
3;;;2015;Nikkonen, Raimo;;132;B5;;Kansi: Marko Keränen;;
4;;;2015;Nikkonen, Raimo;;132;B5;;Kansi: Marko Keränen;;
1;;;2016;Nikkonen, Raimo;;108;B5;;Kansi: Marko Keränen;;
2;;;2016;Nikkonen, Raimo;;100;B5;;Kansi: Marko Keränen;;
3;;;2016;Nikkonen, Raimo;;100;B5;;Kansi: Marko Keränen;;
4;;;2016;Nikkonen, Raimo;;116;B5;;Kansi: Marko Keränen;;
1;;;2017;Nikkonen, Raimo;;124;B5;;Kansi: Kari T. Leppänen;;
2;;;2017;Nikkonen, Raimo;;116;B5;;Kansi: Kari T. Leppänen;;
