Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Aikakone;1;b;;1995;Hinkkanen, Juhani & Peltonen, Leena;Simon Ings puhuu;;Ings, Simon
Aikakone;3;;;1991;Isomäki, Risto;Kristalliruusu - tekijän reunamerkintöjä;;Isomäki, Risto
Aikakone;3;;;1991;Hinkkanen, Juhani & Peltonen, Leena;Risto Isomäki puhuu;;Isomäki, Risto
Aikakone;2;;;1988;Sumiraschi, Mario;Tieteiskirjallisuus Italiassa;Science Fiction, Italia;
Aikakone;3;;;1992;Sinisalo, Johanna;Seksi on kauheeta;Kauhu, Seksi;
Aikakone;4;;;1991;Elo, Eija;Tappavat aaveet;Kauhu, Aaveet, Yliluonnollinen;
Aikakone;3;;;1990;Tapio, Juha K.;Stephen King: Lankoja ja juonteita. Luonnollinen ja yliluonnollinen Kingin romaaneissa Hohto ja Piina;Kauhu, Yliluonnollinen;King, Stephen
Aikakone;4;;;1989;Sinisalo, Johanna;Hylätyt mestariteokset - kuuluisat kirjailijat kertovat;Finncon 1989, Kirjoittaminen;Brunner, John & Hurtta, Boris & Nenonen, Kari & Tervonen, Ari & Sinisalo, Johanna
Aikakone;4;;;1986;Markkula, Pekka & Sinisalo, Johanna;Kahden kokin soppa - ideasta novelliksi, novellista kuunnelmaksi;Kirjoittaminen, Kuunnelmat;
Aikakone;2;;;1989;Anonyymi;Tiijäkkös mikä on RAAPALE?;Kirjoittaminen, Raapale;
Aikakone;1;;;1989;Ijäs, Jyrki;Björn Kurten;;Kurten, Björn
Aikakone;1;Vol.2 No.1;;1983;Rekunen, Veikko;Taikuri;;Le Guin, Ursula K.
Aikakone;2;;;1992;Peltonen, Leena;Kari Leppänen puhuu;;Leppänen, Kari
Aikakone;3;;;1992;Peltonen, Leena;Kari Leppänen puhuu lisää;Sarjakuvat, Kuvittaminen;Leppänen, Kari
Aikakone;1;Vol.2 No.1;;1983;Elo, Eija;Lohikäärmeitä ja lumikuningattaria;Science Fiction, Naiskirjailijat, Feminismi;
Aikakone;1;Vol.2 No.1;;1983;Juustila, Liisa;Nainen, taakka yhteiskunnalle?;Science Fiction, Naiskirjailijat, Feminismi;
Aikakone;1;Vol.2 No.1;;1983;Balabuha, Andrei D.;Tieteismaailman haltijattaria;Science Fiction, Naiskirjailijat, Neuvostoliitto;
Aikakone;3;Vol.1 No.4;;1982;Balabuha, Andrei D.;Paluu syntiseen maahan - neuvostoliittolaisen tieteiskirjallisuuden nykynäkymiä;Science Fiction, Neuvostoliitto;
Aikakone;3;Vol.3 No.3;;1984;Stites, Richard;Punainen aika: Taivas ja helvetti Neuvostoliiton vallankumouksellisessa tieteiskirjallisuudessa;Science Fiction, Neuvostoliitto;
Aikakone;3;Vol.1 No.4;;1982;Susiluoto, Ilmari;Tieteiskirjallisuuden suuri Scina ja utopia Punatähti;Science Fiction, Neuvostoliitto, Utopia, Bogdanov;
Aikakone;1;Vol.1 No.1;;1981;Koponen, Jari;Larry Niven;;Niven, Larry
Aikakone;4;;;1991;Hinkkanen, Juhani & Sinisalo, Johanna;Terry Pratchett puhuu;;Pratchett, Terry
Aikakone;4;Vol.4 No.4;;1985;Zajdel, Janusz A. & Parowski, Maciej;Auringon takaa;Science Fiction, Puola;
Aikakone;2;;;1993;Lehtinen, Vesa;Pendragon;Pelit, Roolipelit, Kuningas Arthur;
Aikakone;2;;;1992;Lehtinen, Vesa;Traveller - avaruusoopperaa olohuoneen pöydällä;Pelit, Roolipelit;
Aikakone;2;Vol.2 No.2;;1983;Holmberg, John-Henri;Ruotsalaisen tieteiskirjallisuuden historiaa;Science Fiction, Ruotsi;
Aikakone;4;;;1992;Hinkkanen, Juhani;Kimmo Saneri puhuu;;Saneri, Kimmo
Aikakone;4;;;1995;Lehtinen, Vesa;Appleseed;Sarjakuvat, Manga, Masamune Shirow;
Aikakone;4;;;1991;Sinisalo, Johanna;Batmanin uudet siivet - yön ritari, päiväperho;Sarjakuvat, Supersankarit;
