Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Spin;3;;;2002;Swanwick, Michael;Elementit 30 Sinkki: Messinkiä;Brass;2002;Autio, Paula;;;
Spin;4;;;2002;Swanwick, Michael;Elementit 31 Gallium: Avaruusmerirosvot;Space Pirates;2002;Hirvonen, Erja;;;
Spin;4;;;2002;Swanwick, Michael;Elementit 32 Germanium: Germanium;Germanium;2002;Paananen, Leila;;;
Spin;4;;;2002;Swanwick, Michael;Elementit 33 Arseeni: Lucrezia Borgia;Lucrezia Borgia;2002;Helkiö. Elina;;;
Spin;4;;;2002;Swanwick, Michael;Elementit 34 Seleeni: H.G. Wells kuussa;H.G. Wells on the Moon;2002;Hirvonen, Erja;;;
Spin;4;;;2002;Swanwick, Michael;Elementit 35 Bromi: Koeta olla ajattelematta norsuja;Try Not To Think of Elephants;2002;Hirvonen, Erja;;;
Spin;4;;;2002;Swanwick, Michael;Elementit 36 Krypton: Teräksinen mies;Man of Steel;2002;Ahonen, Johanna;;;
Spin;4;;;2002;Swanwick, Michael;Elementit 37 Rubidium: Lasihelmet;Glass Beads;2002;Rosvall, Katja;;;
Spin;4;;;2002;Swanwick, Michael;Elementit 38 Strontium: Laskeuma;Fallout;2002;Paananen, Leila;;;
Spin;4;;;2002;Swanwick, Michael;Elementit 39 Yttrium: Se: perimmäinen syy;It: A Preliminary Account;2002;Autio, Paula;;;
Spin;4;;;2002;Swanwick, Michael;Elementit 40 Zirkonium: Ei mitään virtuaalia, vaan ehtaa zirkoniumia;It's Not Virtual Anything — It's Real Zirconium!;2002;Autio, Paula;;;
Spin;1;;;2003;Swanwick, Michael;Elementit 41 Niobium: Kivinainen;Woman of Stone;2002;Ahonen, Johanna;;;
Spin;1;;;2003;Swanwick, Michael;Elementit 42 Molybdeeni: Saakutin Mollyn varjossa;Living in the Shadow of the Molly-Be-Damned;2002;Autio, Paula;;;
Spin;1;;;2003;Swanwick, Michael;Elementit 43 Teknetium: Claimjumper ja Ting;Claimjumper and Ting;2002;Ahonen, Johanna;;;
Spin;1;;;2003;Swanwick, Michael;Elementit 44 Rutenium: Isiemme maa;Land of Our Fathers;2002;Helkiö. Elina;;;
Spin;1;;;2003;Swanwick, Michael;Elementit 45 Rodium: Cecil Rhodes helvetissä;Cecil Rhodes in Hell;2002;Helkiö. Elina;;;
