Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Usva;1;;;2015;Suvi Kauppila;Enkelien aneet;;;;;;
Usva;1;;;2014;Jenni Kauppinen;Varas ja varjo;;;;;;
Usva;4;;;2010;Rauha Kejonen;Mies ja hevonen;;;;;;
Usva;1;;;2015;Artemis Kelosaari;Pyhä Johannes Mätänemätön;;;;;;
Usva;2;;;2015;Artemis Kelosaari;Värise, värise, väärintekijä;;;;;;
Usva;2;;;2005;Katja Kivilahti;Ikiroudan tarinat;;;;;;
Usva;3;;;2010;Siria Kohonen;Yövieras;;;;;;
Usva;1;;;2015;Ari Kokkonen;Digitalisoituminen;;;;;raapale;
Usva;1;;;2015;Ari Kokkonen;Suljettu;;;;;raapale;
Usva;1;;;2015;Ari Kokkonen;Äiti;;;;;raapale;
Usva;1;;;2015;Inkeri Kontro;Huokaava talo;;;;;;
Usva;1;;;2016;Inkeri Kontro;Valkeita kuulaita;;;;;;
Usva;2;;;2015;Inkeri Kontro;Vierasta viljaa;;;;;;
Usva;2;;;2015;Eero Korpinen;Nisulan syvänteeltä;;;;;;
Usva;2;;;2013;Toni Koskelainen;Uudisraivaajat;;;;;;
Usva;2;;;2012;Markus Koskimies;Kun robotti puree, lyö tai räjähtää. Onko kotirobotin ostaminen turvallista?;;;;;;
Usva;3;;;2010;Markus Koskimies;Pirunmalja;;;;;;
Usva;1;;;2010;Markus Koskimies;Suojelusenkeli;;;;;;
Usva;4;b;;2010;Markus Koskimies;Vilukissa;;;;;;
Usva;1;;;2010;Juha-Pekka Koskinen;Kaidalle polulle;;;;;;
Usva;2;;;2005;Juha-Pekka Koskinen;Kirjailija joka ei koskaan julkaissut mitään;;;;;;
Usva;1;;;2007;Juha-Pekka Koskinen;Metsästäjät;;;;;;
Usva;2;;;2006;Juha-Pekka Koskinen;Sydänystävä;;;;;;
Usva;3;;;2009;Eini Kosonen;Vesi verta kirkkaampaa;;;;;;
Usva;3;;;2010;Saara Kuha;Keijukainen;;;;;;
Usva;4;;;2005;Aleksi Kuutio;Kylän vakain käsi;;;;;;
Usva;3;;;2009;Helena Kyllijoki;Muumiokukka;;;;;;
Usva;3;;;2009;Marita Kärkkäinen;Kylä;;;;;;
Usva;1;;;2008;Jukka Laajarinne;Viriliviri;;;;;;
Usva;1;;;2008;Anu Maaret Lahtinen;Vihreä palaa;;;;;;
Usva;1;;;2008;Petri Laine;Albedo nolla;;;;;;
Usva;1;;;2005;Petri Laine;Johnnyn laki;;;;;;
Usva;3;;;2005;Petri Laine;Jälkikuva;;;;;;
Usva;3;;;2006;Petri Laine;Kuolleet puutarhat;;;;;;
Usva;4;;;2009;Petri Laine;L.A.P.S.I;;;;;;
Usva;1;;;2006;Petri Laine;Lordi Wesleyn perintö;;;;;;
Usva;1;;;2013;Petri Laine;Maan jälki;;;;;;
Usva;2;;;2006;Petri Laine;Maan varjo;;;;;;
Usva;3;;;2005;Petri Laine;Ratkaisematon;;;;;;
Usva;3;;;2005;Petri Laine;Suuri kuulemisen tuoma vapautus;;;;;;
Usva;4;b;;2010;Petri Laine;Viimeinen;;;;;;
Usva;2;;;2008;Katriina Laslo;Miskupuuskun toive;;;;;;
Usva;4;;;2008;Natalia Laurila;Biologinen käkikello;;;;;;
Usva;1;;;2006;Natalia Laurila;Kaikki mitä rukoilin;;;;;;
Usva;2;;;2006;Natalia Laurila;Yksi pieni musta langanpätkä;;;;;;
Usva;3;;;2013;Mixu Lauronen;Kaivoonkatsoja;;;;;;
Usva;2;;;2010;Jaana Lehtiö;Todellinen kirjoittaminen;;;;;;
Usva;2;;;2013;Maarit Leijon;Tekeekö tämä varjo minut lihavan näköiseksi?;;;;;;
Usva;1;;;2014;Maarit Leijon;Yö;;;;;;
Usva;4;;;2007;Anne Leinonen;Todelliset kasvot;;;;;;
Usva;3;;;2009;Pirja Lepistö;Kisälli alla kuiden;;;;;;
Usva;2;;;2016;Elli Leppä;Puskemaan apilaa;;;;;;
Usva;2;;;2008;Elli Leppä;Umein suru;;;;;;
Usva;2;;;2015;Lucilla Lin;Esi-isien kieli;;;;;;
Usva;3;;;2010;Venla Lintunen;Muovielämää;;;;;;
Usva;3;;;2010;Päivi Loimala;Saarenmaan valssi;;;;;;
Usva;4;;;2010;Anna Malinen;Kimmo;;;;;;
Usva;1;;;2009;Anna Malinen;Veistäjä;;;;;;
Usva;4;;;2010;Anna Malinen;Viti;;;;;;
Usva;1;;;2013;Hanne Martelius;Kansassa kasuavassa;;;;;;
Usva;3;;;2009;Klaus Maunuksela;Ruusukerettiläinen;;;;;;
Usva;1;;;2012;J.S. Meresmaa;Puhtaan lumen aikaan;;;;;;
Usva;3;;;2009;Sirpa Meriläinen;Nollapiste;;;;;;
Usva;4;;;2007;J.K. Miettinen;Lapsellinen, onnellinen;;;;;;
Usva;1;;;2010;J.K. Miettinen;Niin kaunis;;;;;;
Usva;3;;;2006;J.K. Miettinen;Raskautettu;;;;;;
Usva;2;;;2007;Maija Miikkola;Aamunkoitto;;;;;;
Usva;4;;;2012;Hanna Morre;Metsän kuningatar;;;;;;
Usva;2;;;2012;Satu Musto;Vuokratyöntekijä;;;;;;
Usva;1;;;2015;Mia Myllymäki;Peilin perhe;;;;;;
Usva;1;;;2014;Merja Mäki;He jättivät minut sinne;;;;;;
