Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Spin;5;;;2000;MacLeod, Ken;Kala-aterialla Helsingissä;Finncon, Conit Suomessa;
Spin;3;;;1982;Mäentaka, Kari;King-Con;King-Con, Conit Suomessa;
Spin;4;;;2012;Karppanen, Pasi;Kolme päivää myrskyn silmässä - Turun kansainväliset kirjamessut 2012;Kirjamessut, tapahtumat Suomessa;
Spin;3;;;2008;Warinowski, Tino;Kunniavieraiden hoito ja ruokinta;Finncon, Conit Suomessa;
Spin;3;;;2008;Clements, Jonathan;Kuoleman sauna - Jonathan Clementsin seikkailut suomalaisten maassa 29.7.-4.8.2003;Finncon, Conit Suomessa;
Spin;3;;;1986;Lehto, Kaijus;Kuvittajapaneelista ja vähän muustakin Finnconissa;Finncon, Conit Suomessa;
Spin;5;;;1999;Virta, K.;MAY Finncon 99 -tapahtumassa;Finncon, Conit Suomessa;
Spin;2;;;2011;Hurtta, Boris & Sansweet, Steve & Swanwick, Michael;Memories of Years Past - Greetings from Guests of Honour at the previous Finncon held in Turku;Finncon, Conit Suomessa;
Spin;3;;;2011;Clements, Jonathan & Sund, Bjorn Tore & Morgan, Richard & Hopkinson, Nalo;Memories of Years Past II - Greetings from Guests of Honour at the previous Finncon held in Turku, part deux;Finncon, Conit Suomessa;
Spin;4;;;2010;Karppanen, Pasi & Aalto, Mirelle & Paananen, Leila;"""Messuhulinaa, kauheesti kirjoja ja kavereita""";Kirjamessut, tapahtumat Suomessa;
Spin;3;;;1991;Toivonen, Sami;Miekan ja magian pitoaterian yö;Fantasiapidot, tapahtumat Suomessa;
Spin;3;;;1991;Anonyymi;Mikä ihmeen Finncon? - Viisi kysymystä Finnconista;Finncon, Conit Suomessa;
Spin;4;;;2000;Ykspetäjä, Kaisa & Warinowski, Tino;Millennium Finncon - sarjakuvafestareiden uudet vaatteet;Finncon, Conit Suomessa;
Spin;5;;;1999;Paananen, Tytti;Minun Finnconini;Finncon, Conit Suomessa;
Spin;3;;;1987;Roimola, Ben;Mämmilä matalaksi eli scifistit Orivedellä;Tapahtumat Suomessa;
Spin;5;;;1999; Mari & Hanna;Outoja olioita ja mukavaa menoa, eli Last Survivors' Club;Finncon, Conit Suomessa;
Spin;2;;;2014;Karppanen, Pasi;Pieni mutta oma - Terracon järjestäjän silmin;Terracon, Conit Suomessa;
Spin;3;;;2010;Paananen, Leila;Pitkä kuuma con - Finncon 2010 tunnelmia ja muistkuvia;Finncon, Conit Suomessa;
Spin;3;;;1986;Haarikko, Harri;Puheenjohtajan palsta: Finncon 86;Finncon, Conit Suomessa;
Spin;5;;;1993;Laajarinne, Jukka;Raportti Fantasiapidoista liveroolipeleineen ja kaikkineen;Fantasiapidot, tapahtumat Suomessa;
Spin;3;;;2000;Suntila, Shimo;100 tuntia scifiä;Fandom, elokuvat, tapahtumat Suomessa;
Spin;1;;;1998;Karppanen, Pasi;Scifi- ja fantasiaseminaari Orivedellä 27.-29.6.1997;Tapahtumat Suomessa;
Spin;5;;;1999;Suntila, Simo;Scifiä Taiteiden yössä;Tapahtumat Suomessa;
Spin;1;;;2007;Woods, Juliette & Warman, Damien;Suomi;Tapahtumat Suomessa;
Spin;4;;;2010;Aalto, Milla & Leppälahti, Kaarina;Suuri lintu levittelee siipiään - Finncon-Animecon 2011 Brainstorm ja Concon;Finncon, Concon;
Spin;4;;;2011;Engblom, Emma & Ouramaa, Anniina & Saloranta, Tuomas;Tapahtui kirjamessuilla...;Kirjamessut, tapahtumat Suomessa;
Spin;6;;;1999;Suntila, Simo;Tapahtumia;Tapahtumat Suomessa;
Spin;5;;;1999;Viljamaa, Emma;The Making of Finncon 1999;Finncon, Conit Suomessa;
Spin;3;3-4/2013;;2013;Karppanen, Pasi;Tiili perhosen haudalla ja muita kuvitteellisia tarinoita - Turun kansainväliset kirjamessut 2013;Kirjamessut, tapahtumat Suomessa;
Spin;1;;;2006;Korhonen, Tytti;TSFS ry:n vuosijuhlat 28.1.2006;TSFS, Fandom, tapahtumat Suomessa;
Spin;3;;;2008;Korhonen, Tytti;Tunnelmia menneiden vuosien Fantasiapidoista;Fantasiapidot, tapahtumat Suomessa;
Spin;3;;;2005;Ahonen, Johanna;Turkulaiset Helsingissä - Tähtivaeltaja-päivä 10.9.2005;Tähtivaeltaja-päivä, conit Suomessa;
Spin;4;;;2008;Hirsjärvi, Irma;Tutkitusti hurjaa kamaa - utopiat ja dystopiat scifi-tutkijatapaamisessa;Tutkijatapaaminen, Finncon, tapahtumat Suomessa;
Spin;3;3-4/2015;;2015;Karppanen, Pasi;Vinkura venkura aikavänkyrä;Doctor Who, conit Suomessa;
Spin;5;;;2001;Pohjola, Jouni;Äksyn röpöttelyraportti III;ÄKSY, Fandom, tapahtumat Suomessa;
Spin;1;;;2013;Haapalinna, Katri;Aika matka;Doctor Who, tapahtumat ulkomailla;
Spin;1;;;1999;Reinikainen, Sirpa;Babylon 5 Wrap Party;Babylon 5, tapahtumat ulkomailla;
Spin;5;;;1998;Ronni, Tapani;Baltimore ohoi! Rehti, reima ja lähes raitis coniraportti;Worldcon, Conit ulkomailla;
Spin;3;;;2007;Brodkin, Kai;Celebration Europe, wretched hive of scum and villainy;Star Wars, Conit ulkomailla;
Spin;3;;;2005;Ykspetäjä, Tero;Conceive - Swecon 05;Swecon, Conit ulkomailla;
Spin;2;;;1997;Soikkeli, Markku;Contact 1997 ;Contact, tapahtumat ulkomailla;Engholm, Ahrvid
Spin;3;;;2007;Ykspetäjä, Tero;Eurocon;Eurocon, Conit ulkomailla;
Spin;2;;;2005;Jantunen, Paula;Haltiataikoja Haarzuilensissa - Elf Fantasy Fair 2005;Fantasia, tapahtumat ulkomailla;
Spin;2;;;2013;Ulanto, Mirka;Holiton kolumni II;Matkat ulkomailla;
Spin;1;;;2014;Ulanto, Mirka;Holiton kolumni IV;London Film and Comic Con, Conit ulkomailla;
Spin;2;;;2014;Ulanto, Mirka;Holiton kolumni V;Hitchhiker's Guide to the Galaxy Radio Show Live, tapahtumat ulkomailla;
Spin;1;;;1997;Wuorinen, Kaisa;It's not easy to have a good time - try WORLDCON;Worldcon, Conit ulkomailla;
Spin;3;;;1984;Tudeer, Lauri;LA Con 1984;Worldcon, Conit ulkomailla;
Spin;5;;;1995;Pajunen, Hannu & Ykspetäjä, Tero;Maailmanconin matkapäiväkirjasta;Worldcon, Conit ulkomailla;
Spin;1;;;2013;Ulanto, Mirka;Mirka Ulannon holiton kolumni;Matkat ulkomailla;
Spin;2;;;2002;Ahonen, Johanna;Noff said - Töppäilyä tunnelbanassa eli kuinka minä noffailin;NOFF, Swecon, Conit ulkomailla;
Spin;4;;;2006;Roimola, Ben;NoFFaillen Tukholmaan (ja takaisin);NOFF, Swecon, Conit ulkomailla;
Spin;3;;;2007;Saaros, Kirsi;Pajon tähtiä ja vähän sotaa - Star Wars exhibition Lontoossa;Star Wars, tapahtumat ulkomailla;
Spin;3;;;2012;Mäntylä, Tomi;Pienen noffarin suuri pohjoismaiden kiertue;NOFF, Conit ulkomailla, Tanska, Norja;
Spin;4;;;2006;Brodkin, Kai;Pitkä marssi maskissa - 2007 Tournament of Roses Parade;Star Wars, tapahtumat ulkomailla;
Spin;2;;;1987;Haarikko, Harri;Puheenjohtajan palsta: Contact 87 revisited ;Contact, tapahtumat ulkomailla;Engholm, Ahrvid
Spin;1;;;2005;Kyttälä, Anu-Riikka;Ring*Con - Maritim hotel Bonn, 29.-31.10.2004;Tolkien, Fandom, conit ulkomailla;
Spin;2;;;1979;Tudeer, Lauri;Seacon '79 ;Worldcon, Conit ulkomailla;
