Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Portti;1;;;1995;Hiipakka, Anneli;Pallo hukassa;;;;;;
Portti;1;;;1998;Hiipakka, Anneli;Uponnut;;;;;;
Portti;4;;;1987;Hiltunen, Pekka;Tuli ilta ja tuli yö;;;;;;
Portti;2;;;1999;Hirvonen, Marjaana;Unelma;;;;;;
Portti;3;;;1984;Holopainen, Veli;Ikuisen pahan ongelma;;;;;;
Portti;4;;;2017;Honkonen, Janos;Sadan vuoden huuto;;;;;;
Portti;2;;;2019;Hornanheimo, Tuomas;Vihan valkeat;;;;;;
Portti;4;;;2000;Hurtta, Boris;Ahneiden puutarhat;;;;;;
Portti;1;;;1989;Hurtta, Boris;Aikaportti;;;;;;
Portti;3;;;2007;Hurtta, Boris;Doktor Kronburgerin muistikirja;;;;;;
Portti;2;;;1996;Hurtta, Boris;Elävän tulen styliitat;;;;;;
Portti;1;;;1999;Hurtta, Boris;Haudattomat;;;;;;
Portti;2;;;1991;Hurtta, Boris;Italia;;;;;;
Portti;3;;;1999;Hurtta, Boris;Jäljet johtavat korpeen;;;;;;
Portti;3;;;2008;Hurtta, Boris;Kainin pojat;;;;;;
Portti;2;;;2001;Hurtta, Boris;Kaksi lystikästä kirjahullua;;;;;;
Portti;1;;;1998;Hurtta, Boris;Keltaisen virran vesi;;;;;;
Portti;1;;;1989;Hurtta, Boris;Kiviperkele;;;;;;
Portti;1;;;1990;Hurtta, Boris;Kolmen jumalan kumartaja;;;;;;
Portti;4;;;1996;Hurtta, Boris;Koppakuoriaisten tie;;;;;;
Portti;2;;;1997;Hurtta, Boris;Kuningatar Lilan pääkallo;;;;;;
Portti;2;;;2001;Hurtta, Boris;Merenpohjan kaiku - Kirjanmetsästäjä Alf Cettuniuksen kirjeenvaihtoa;;;;;;
Portti;1;;;2010;Hurtta, Boris;Mikko Vilkastuksen tunnustuksia;;;;;;
Portti;3;;;1993;Hurtta, Boris;Noidan testamentti;;;;;;
Portti;4;;;1999;Hurtta, Boris;Olavi Virran paremmat vuodet;;;;;;
Portti;4;;;1988;Hurtta, Boris;Pahat henget Porkkalassa;;;;;;
Portti;2;;;1992;Hurtta, Boris;Paholaisen aivot;;;;;;
Portti;2;;;1998;Hurtta, Boris;Parkkipaikka;;;;;;
Portti;1;;;1991;Hurtta, Boris;Perilliset;;;;;;
Portti;4;;;1989;Hurtta, Boris;Perisynnin kosketus;;;;;;
Portti;2;;;1989;Hurtta, Boris;Perkeleitä Broadwaylla eli tuhon enteitä Amerikassa;;;;;;
Portti;3;;;1988;Hurtta, Boris;Pirunkirjojen kintereillä;;;;;;
Portti;3;;;1991;Hurtta, Boris;Prins Sigismundin lokikirja;;;;;;
Portti;1;;;2006;Hurtta, Boris;Puut kuin purjeet laivan;;;;;;
Portti;2;;;1990;Hurtta, Boris;Pyhän Herodeksen marttyyrit;;;;;;
Portti;3;;;1990;Hurtta, Boris;Pää;;;;;;
Portti;3;;;2006;Hurtta, Boris;Salakuljettajan tytär;;;;;;
Portti;1;;;2003;Hurtta, Boris;Seikkailujen junat;;;;;;
Portti;3;;;1989;Hurtta, Boris;Sininen enkeli;;;;;;
Portti;4;;;1994;Hurtta, Boris;Tapuli-insinöörin paluu;;;;;;
Portti;4;;;2001;Hurtta, Boris;Tautimies;;;;;;
Portti;4;;;1991;Hurtta, Boris;Tullivapaa pyramidi;;;;;;
Portti;1;;;2005;Hurtta, Boris;Tuulinen syksy;;;;;;
Portti;1;;;2002;Hurtta, Boris;Tähtikuunarin aarteet;;;;;;
Portti;2;;;2002;Hurtta, Boris;Tähtikuunarin aarteet;;;;;;
Portti;3;;;2002;Hurtta, Boris;Tähtikuunarin aarteet;;;;;;
Portti;4;;;1993;Hurtta, Boris;Ukkoslapsi;;;;;;
Portti;1;;;1997;Hurtta, Boris;Utta Maara Tsum;;;;;;
Portti;2;;;2000;Hurtta, Boris;Valdemarin kirja;;;;;;
Portti;4;;;1990;Hurtta, Boris;Yötuulen vartijat;;;;;;
Portti;2;;;2010;Huttunen, Kristiina;Musta lintu;;;;;;
Portti;3;;;2016;Huttunen, Kristiina;Närhien valtakunta;;;;;;
Portti;1;;;2017;Huttunen, Kristiina;Perinnetarinoita Kuusivaaran kylästä;;;;;;
Portti;4;;;2011;Huttunen, Kristiina;Seuloja;;;;;;
Portti;1;;;2001;Hynynen, Anssi;Kuningas;;;;;;
Portti;2;;;2002;Hyväri, Hanna;Omat koirat purivat;;;;;;
Portti;4;;;1996;Hänninen, Petri;Haikarat eivät tuo lapsia;;;;;;
Portti;1;;;2016;Ihalainen, Maiju;Itkevän taivaan temppeli;;;;;;
Portti;4;;;2019;Ihalainen, Maiju;Parsija, etsijä, kaikkien toiveiden täyttäjä;;;;;;
Portti;4;;;2013;Ihalainen, Maiju;Terrakotta;;;;;;
Portti;2;;;2018;Ihalainen, Maiju;Vihreiden tuulten aika;;;;;;
Portti;3;;;1989;Ilmari, Osmo;Ilmetty sir Lazarus;;;;;;
Portti;3;;;1996;Ilmari, Osmo;Kultamuru;;;;;;
Portti;4;;;1991;Ilmari, Osmo;Lasityttö;;;;;;
Portti;1;;;1988;Ilmari, Osmo;Parantaja;;;;;;
Portti;4;;;1994;Ilmari, Osmo;Peter Pan on kuollut;;;;;;
Portti;2;;;1992;Ilmari, Osmo;Unelmien arvo;;;;;;
Portti;3;;;1993;Inari, J.E.;Tunnevahvistaja;;;;;;
Portti;2;;;2017;Issakainen, Tenka;Mårran;;;;;;
Portti;3;;;1990;Jokinen, Seppo;Siirto;;;;;;
Portti;3;;;1995;Jokinen, Seppo;Suuska;;;;;;
Portti;4;;;1993;Juntikka, Martti;Laatta;;;;;;
Portti;2;;;1988;Junttila, Yrjö;In nomini carnalis;;;;;;
Portti;2;;;2005;Juntunen, Katariina;Unelmiin kudottu;;;;;;
Portti;4;;;1996;Juvakoski-Heino, Päivikki;Mahdoton muinaiskoru;;;;;;
Portti;1;;;2006;Jäntti, Tuomo;Aachenin aikakirjat;;;;;;
Portti;4;;;2006;Jäntti, Tuomo;Portinvartija;;;;;;
Portti;4;;;2003;Jäntti, Tuomo;Verkko;;;;;;
Portti;2;;;2015;Järvinen, Marko;Huonakalukuiskaaja;;;;;;
