1;Hugo;2004;Paras romaani;Paladin of Souls
1;Hugo;2005;Paras romaani;Jonathan Strange & Mr Norrell
1;Hugo;2006;Paras romaani;Spin
1;Hugo;2007;Paras romaani;Rainbows End
1;Hugo;2008;Paras romaani;The Yiddish Policemen’s Union
1;Hugo;2009;Paras romaani;The Graveyard Book
1;Hugo;2010;Paras romaani;The Windup Girl
1;Hugo;2010;Paras romaani;The City & the City
1;Hugo;2011;Paras romaani;Blackout/All Clear
1;Hugo;2012;Paras romaani;Among Others
1;Hugo;2013;Paras romaani;Redshirts
1;Hugo;2014;Paras romaani;Ancillary Justice
1;Hugo;2015;Paras romaani;Santi
1;Hugo;2016;Paras romaani;The Fifth Season
1;Hugo;2017;Paras romaani;The Obelisk Gate
1;Hugo;2018;Paras romaani;The Stone Sky
1;Hugo;2019;Paras romaani;The Calculating Stars
