Lehti;nro;Tekijä;Artikkeli;Aihe;Viitteet
Alienisti;15;Irma Hirsjärvi;Tule konferenssiin. Näe maailmaa. Tapaa ihmisiä.;IAFA, ICFA, 2004, Yhdysvallat, Conit ulkomailla;
Alienisti;32;Olivia Orso, Alberto Orso;Valtaistuinpeliä Manhattanilla ;New York, Yhdysvallat, matkat ulkomailla;
Alienisti;40;Virpi Flyktman, Riikka Javanainen;Virpi ja Riikka viskimuseossa! (Ja jossain comissa);Worldcon 2019, Dublin, Irlanti, Conit ulkomailla;
Alienisti;18;Kati Mäki-Kuutti;Worldcon 2005 kuvareportaasi;Worldcon 2005, Glasgow, Conit ulkomailla;
Alienisti;18;Marko Ahonen;Worldcon-tähtipäiväkirja;Worldcon 2005, Glasgow, Conit ulkomailla;
Alienisti;19;Aino Harvola;Donnie Darko: The Director's Cut;Elokuvat;
Alienisti;37;Lasse Ranta;Elämän magiasta - käsittelyssä kolme Georges Mélies'n elokuvaa;Elokuvat;
Alienisti;30;Lasse Ranta;End of Days - Katsaus maailmanlopun elokuvaan;Elokuvat;
Alienisti;9;Jussi Kantonen;Jussin kanssa elokuvissa;Elokuvat, Italia, peplum;
Alienisti;37;Marko Ahonen;Last Border - Mika Kaurismäen syrjähyppy scifiin;Elokuvat;
Alienisti;26;Marko Ahonen;Minä ja Tron;Elokuvat;
Alienisti;31;Lasse Ranta;Parhaat fantasia/scifi-elokuvat joita et ole nähnyt;Elokuvat;
Alienisti;33;Lasse Ranta;Peter von Bagh - ikuisesti;Elokuvat;
Alienisti;34;Marko Ahonen;Suomalaisen scifi-elokuvan outolintu;Elokuvat, Lipton Cockton;
Alienisti;27;Marko Ahonen;Tapahtui vuonna 2012;Elokuvat, Ruusujen aika, Risto Jarva;
Alienisti;22;Marko Ahonen;Transformers my ass!;Elokuvat;
Alienisti;24;Irma Hirsjärvi;42 20v. 12.12.2009;Fandom, sf-seurat, Jyväskylän Science Fiction Seura 42;
Alienisti;40;Jussi Vainikainen;42 sekalaisia kuvia vuosien varrelta;Fandom, sf-seurat, Jyväskylän Science Fiction Seura 42;
Alienisti;23;Irma Hirsjärvi;42:n historiikki jatkuu…;Fandom, sf-seurat, Jyväskylän Science Fiction Seura 42;
Alienisti;40;Saija Aro, Riikka Javanainen;42:n historiikki jatkuu taas...;Fandom, sf-seurat, Jyväskylän Science Fiction Seura 42;
Alienisti;10;Irma Hirsjärvi;42:n vaellusvuodet - eli sinne ja takaisin ja sinne takaisin…;Fandom, sf-seurat, Jyväskylän Science Fiction Seura 42;
Alienisti;23;Jouni Jukkala;Ennen ja jälkeen Milleniumin;Fandom, sf-seurat, Jyväskylän Science Fiction Seura 42;
Alienisti;32;Juri Timonen, Jyrki Korpua;FINFAR - Tiedettä fiktiosta!;Fandom, sf-seurat, FINFAR, Fafnir;
