Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Kosmoskynä;1;;;1993;Jerrman, Toni;Kosmoskynä-palkinto 1992 kiitospuhe;;Jerrman, Toni
Kosmoskynä;3;;;2003;Karonen, Jarmo;Synestesia ja sielulinnut - haastattelussa Nova 2003-voittaja Katariina Juntunen;;Juntunen, Katariina
Kosmoskynä;2;;;2015;Anonyymi;Kosmoskynän 10 kysymystä;;Jyrkäs, Juha
Kosmoskynä;1;;;2011;Anonyymi;Kosmoskynän 10 kysymystä;;Jänkälä, Tomi
Kosmoskynä;4;;;2011;Peltonen, Niko;Introduction - Pasi Ilmari Jääskeläinen;;Jääskeläinen, Pasi Ilmari
Kosmoskynä;2;;;2008;Karppanen, Pasi;Tarinat tarinoiden takana;;Jääskeläinen, Pasi Ilmari
Kosmoskynä;3;;;2001;Leinonen, Anne;Tarinoita mielikuvituksen alttarille;;Jääskeläinen, Pasi Ilmari
Kosmoskynä;3;;;2001;Pohjola, Mike;Tähtivaeltajapalkinto Jääskeläiselle;Palkinnot;Jääskeläinen, Pasi Ilmari
Kosmoskynä;2;;;1990;Tenhunen, Eeva-Liisa;The Kalevala as a Source of Inspiration;Kalevala;
Kosmoskynä;4;;;2003;Peltoniemi, Sari;Kosmoskynän kymmenen kysymystä kirjoittajalle;;Kangasvuo, Jenny
Kosmoskynä;3;;;2014;Karppanen, Pasi;Pasi Karppasen kiitospuhe;;Karppanen, Pasi
Kosmoskynä;3;3-4/2009;;2009;Karppanen, Pasi;Uusia tuulia? - Yhden päätoimittajan jäähyväissanat;;Karppanen, Pasi
Kosmoskynä;2;;;2017;Järvinen, Matti;Mitä kauhukirjallisuus on? Kauhun genrejä;Kauhu;
Kosmoskynä;2;;;2017;Kelosaari, Artemis;Vääristymisen taide: lyhyt pohdinta kehokauhun kauhistu..;Kauhu;
Kosmoskynä;3;;;2012;Anonyymi;Kosmoskynän 10 kysymystä;;Kauppinen, Jenni
Kosmoskynä;2;;;2017;Koistinen, Aino-Kaisa;Artemis Kelosaari - sanataiteen moniottelija;;Kelosaari, Artemis
Kosmoskynä;2;;;2001;Jääskeläinen, Pasi;40000 kysymystä ja vastausta;Kirjoittaminen;
Kosmoskynä;2;;;2014;Holopainen, Anu;Aika matka - kirjoittamisen ilosta ja kuinka se löytyi uudelleen;Kirjoittaminen;
Kosmoskynä;2;;;2008;Katajala, Jussi;Aku Ankasta anakronismeihin;Kirjoittaminen;
