Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Aikakone;1;;;1988;Pasanen, Sirpa;Henkien lahja;;;;;;
Aikakone;1;Vol.2 No.1;;1983;Pasanen, Sirpa;Luonnonoikku;;;;;;
Aikakone;4;;;1986;Pasanen, Sirpa;Rituaali;;;;;;
Aikakone;3;;;1991;Peters, Peter;Hämmästyttävä suklaakone;;;;;;
Aikakone;3;;;1991;Pihlajamäki, Teppo;Aseriisuntaneuvottelu;;;;;raapale;
Aikakone;2;;;1992;Pihlajamäki, Teppo;Teppo Pihlajamäen parempi tieteisfantasia;;;;;raapale;
Aikakone;4;Vol.1 No.4;;1982;Poroila, Heikki;Vaikeneva vieras;;;;;;
Aikakone;1;Vol.1 No.2;;1982;Rekunen, Veikko;Biologinen totuus;;;;;;
Aikakone;1;;;1988;Rekunen, Veikko;Ihminen!;;;;;;
Aikakone;4;Vol.3 No.4;;1984;Rekunen, Veikko;Pan Hominides;;;;;;
Aikakone;4;;;1986;Rekunen, Veikko;Syyllinen;;;;;;
Aikakone;1;;;1987;Rekunen, Veikko & Virtanen, Pekka;Elämän vangit;;;;;;
Aikakone;3;Vol.4 No.3;;1985;Roimola, Ben;Auloksen reikä;;;;;;
Aikakone;1;;;1992;Saipio, Jarkko;Eläjä;;;;;;
Aikakone;2;;;1991;Salmela, Elina;Mi ja voikukka;;;;;;
Aikakone;2;Vol.3 No.2;;1984;Salmi, Hannu;Mies, joka sävelsi maailman;;;;;;
Aikakone;2;;;1987;Salminen, Juha;Epäilevä insinööri;;;;;;
Aikakone;3;;;1987;Salminen, Juha;Insinööri taistelee;;;;;;
Aikakone;2;;;1986;Salminen, Juha;Onnellinen insinööri;;;;;;
Aikakone;4;;;1987;Salminen, Juha;Rauhan planeetta;;;;;;
Aikakone;3;Vol.1 No.4;;1982;Salminen, Juha;Tyytymättömyys taataan;;;;;;
Aikakone;1;;;1993;Salo, Mikko;Varkaita!;;;;;raapale;
Aikakone;1;;;1987;Saneri, Kimmo;Dokedyymin matkassa;;;;;;
Aikakone;2;;;1992;Saneri, Kimmo;Kevät Atlaassa;;;;;;
Aikakone;2;;;1986;Saneri, Kimmo;Leopardeista ja vähän muistakin eläimistä;;;;;;
Aikakone;4;;;1992;Saneri, Kimmo;(Lupukoiden aika) Capselia Bursa Pastoris;;;;;;
Aikakone;3;;;1995;Saneri, Kimmo;Marsin ilta ehtii;;;;;;
Aikakone;3;;;1986;Saneri, Kimmo;Teatteri Hannibal;;;;;;
Aikakone;4;;;1990;Saneri, Kimmo;Tämä kirja on poltettava;;;;;;
