Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Kosmoskynä;2;;;2016;Suntila, Shimo;Sydänasiaa;;;;;;
Kosmoskynä;2;;;2016;Suntila, Shimo;Syvä uni;;;;;;
Kosmoskynä;1;;;2001;Suntila, Shimo;Tarina mustan hehtaarin metsän orjuuttajista;;;;;;
Kosmoskynä;3;;;2011;Suntila, Shimo;Todistustaakka;;;;;;
Kosmoskynä;2;;;2016;Suntila, Shimo;Täydelliset muukalaiset;;;;;;
Kosmoskynä;3;;;2011;Suntila, Shimo;Vihreä poliisi-Suomi 2020;;;;;;
Kosmoskynä;3;;;2011;Suntila, Shimo;Viiltävä violetti;;;;;;
Kosmoskynä;3;;;2005;Suonpää, Henna;Tulisade;;;;;;
Kosmoskynä;4;;;2005;Supinen, Miina;Alkumereen;;;;;;
Kosmoskynä;1;;;2005;Supinen, Miina;Yksisarvisen talli;;;;;;
Kosmoskynä;4;;;1988;Surkka, Timo;Mies, joka värähti joka kerta kun tehdään pahaa;;;;;;
Kosmoskynä;1;;;2000;Tanskanen, Kari;Imuri;;;;;;
Kosmoskynä;1;;;2010;Tarkiainen, Terhi;Raja;;;;;;
Kosmoskynä;4;;;2015;Tenhunen, Eeva-Liisa;Mull' on kourat kontiolta;;;;;;
Kosmoskynä;4;;;1987;Tenhunen, Eeva-Liisa;Tulilintu;;;;;;
Kosmoskynä;3;;;2012;Thorel, Christine;Räjähdys;;;;;;
Kosmoskynä;1;;;2013;Thorel, Christine;Viiltävä valo;;;;;;
Kosmoskynä;1;;;2004;Tilus, Jukka;Kauas on pitkä matka;;;;;;
Kosmoskynä;1;;;2001;Tirkkonen, Olav;Eurooppa sateen jälkeen;;;;;;
Kosmoskynä;1;;;2001;Tirkkonen, Olav;Sateen harmaat harsot;;;;;;
Kosmoskynä;1;;;1987;Toivonen, Sami;"""Sai varmaan hyvät naurut""";;;;;;
Kosmoskynä;2;;;2010;Tourunen, Auli;Kevään tuoksu;;;;;;
Kosmoskynä;2;;;2001;Tähtinen, Keijo;Kirjailija ja menestyksen vaarat;;;;;;
Kosmoskynä;1;;;2013;Törnqvist, T. Markus;Valokuvia Ahvenanmaalta;;;;;;
Kosmoskynä;2;;;1989;Vainio, Adam Kristian;Albireo;;;;;;
Kosmoskynä;3;3-4/2009;;2009;Valta, Sara;Poistettu;;;;;;
Kosmoskynä;1;;;2016;Vierula, Hertta;Lopussa;;;;;;
Kosmoskynä;2;;;2017;Vuokko-Syrjänen, Reetta;Tämä puoli ylöspäin;;;;;;
Kosmoskynä;3;;;1990;Väisänen, Hannu;Velanmaksu;;;;;;
Kosmoskynä;2;;;2006;Wessman, Jaana;Raphael's Angel;;;;;;
Kosmoskynä;1;;;1988;Öhman, Kari;Luojan lykky;;;;;;
