Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Portti;2;;;2010;Iivonen, Jyrki;Ambrose Bierce;;Bierce, Ambrose
Portti;1;;;1989;Iivonen, Jyrki;Dmitri Bilenkin;;Bilenkin, Dmitri
Portti;2;;;1992;Salin, Petri;Hajamietteitä Borgesin kaunokirjallisesta tuotannosta;;Borges, Jorge Luis
Portti;4;;;1985;Altmann, Johannes;Hieronymus Bosch: Helvettiä nykyihmiselle;Taide;
Portti;2;;;1989;Mustonen, Sirpa;Ray Bradbury - Mielikuvia kielikuvilla;;Bradbury, Ray
Portti;2;;;1998;Mänttäri, Tiina;Atlantiksesta Avaloniin - kelttien uskomuksia M.Z. Bradleyn silmin;;Bradley, Marion (Eleanor) Zimmer
Portti;3;;;2014;Iivonen, Jyrki;Valeri Brjusov - Venäläisen symbolismin isä;;Brjusov, Valeri
Portti;1;;;1991;Salin, Petri;A Clockwork Orange x 2;;Burgess, Anthony
Portti;2;;;1992;Leikola, Anto;Dejah Thorisin povi;;Burroughs, Edgar Rice
Portti;2;;;1991;Leppänen, Kari T.;Edgar Rice Burroughs - fantasian mestari;;Burroughs, Edgar Rice
Portti;2;;;1991;Leppänen, Kari T.;Maan uumenista avaruuden ääriin;;Burroughs, Edgar Rice
Portti;2;;;1991;Leppänen, Kari T.;"""Nostakaa Tarzan puuhun... filmaus alkaa""";Elokuvat;Burroughs, Edgar Rice
Portti;2;;;1991;Louekari, Väinö;Sodan kuva E.R. Burroughsin Mars-sarjassa;;Burroughs, Edgar Rice
Portti;2;;;1991;Leikola, Anto;Tarzanin biologiaa;;Burroughs, Edgar Rice
Portti;4;;;1993;Kuivakari, Seppo;William Seward Burroughs;;Burroughs, William S.
Portti;4;;;1992;de Anna, Luigi;Johdatus Dino Buzzatin tuotantoon;;Buzzati, Dino
Portti;1;;;1993;Salin, Petri;Lordit Byron ja Ruthven ja erään vampyyrin synty;Vampyyrit, Kauhu;Byron, Lordi George Gordon
Portti;4;;;1990;Sadelehto, Markku;Ramsey Campbell;;Campbell, Ramsey
Portti;2;;;1995;Nyman, Jukka;Luigi Capuana - kirjallisuustieteilijä ja tieteen kyseenalaistaja;;Capuana, Luigi
Portti;1;;;2002;Rosvall, Matti;Olkoon nimesi vaikka Liisalice;;Carroll, Lewis
Portti;1;;;1986;Harenko, Ari;Merta ja avaruutta Sri Lankassa;;Clarke, Arthur C.
Portti;3;;;1983;Savolainen, Matti;Atorox Suomen suvessa eli scifi-tapahtuma Orivedellä 4.-6.7.1983;Tapahtumat Suomessa;
Portti;2;;;1986;Manninen, Pekka A.;Finncon 86;Finncon, Conit Suomessa;
Portti;3;;;1992;Nikkonen, Raimo;Keskiyön Madon kävely Ikaalisissa;Tapahtumat Suomessa;
Portti;3;;;1982;Nikkonen, Raimo;King-Con;Conit Suomessa;
Portti;2;;;1985;Sinisalo, Johanna;Onko se lintu? Onko se lentokone? Ei, vaan II sarjakuvafestivaali - aiheena supersankarit!;Tapahtumat Suomessa, Sarjakuvat;
Portti;3;;;1985;Peltonen, Leena;Tamcon 19.-21.7.1985;Conit Suomessa;
Portti;3;;;2001;Widenius, Erkki;Yksi teema - monta näkökulmaa. Scifi-tutkijatapaaminen Jyväskylän Kesässä;Tapahtumat Suomessa;
Portti;4;;;1998;Tapio, Juha K.;Matkalla utopiaan;Tapahtumat ulkomailla;
Portti;3;;;1988;Savolainen, Matti;Raportti Lontoosta kesällä 1988;Matkat ulkomailla;
Portti;2;;;1984;Pietilä, Timo;Seacon 84;Conit ulkomailla, Eurocon;
Portti;4;;;1982;Peltonen, Leena;SweCon 82;Conit ulkomailla, Swecon;
Portti;3;;;2011;Iivonen, Jyrki;Englannin kielen puolalainen mestari Joseph Conrad;;Conrad, Joseph
Portti;2;;;2002;Iivonen, Jyrki;Ovid S. Crohmalniceanu ja romanialainen tieteiskirjallisuus;Romania;Crohmalniceanu, Ovid S.
Portti;1;;;1988;Nikkonen, Raimo;Kauhujen mies - Jason Dark alias Helmut Rellergerd;;Dark, Jason
Portti;3;;;1991;Salin, Petri;Cyrano de Bergerac;;de Bergerac, Cyrano
Portti;2;;;1998;Leikola, Anto;Cyranon toinen maailma;;de Bergerac, Cyrano
Portti;3;;;2013;Koponen, Jari;Historiallisen fantasian virtuoosi - keskustelu Aliette de Bodardin kanssa;;de Bodard, Aliette
Portti;4;;;2015;Iivonen, Jyrki;Guy de Maupassant - ranskalaisen novellin mestari;;de Maupassant, Guy
Portti;2;;;2019;Koponen, Jari;Mars-mania ja novellin mestari;;de Maupassant, Guy
Portti;4;;;1997;Kuitunen, Kalevi;Merirosvojen historia - Daniel Defoen naamioitu utopia;;Defoe, Daniel
Portti;1;;;1983;Rosvall, Matti;Elämää Kassiopeiassa v. 1854;;Defontenay, C.I.
Portti;4;;;1992;Salin, Petri;- Flow My Tears, sanoi Phil Dick;;Dick, Philip K.
Portti;3;;;2013;Widenius, Erkki;Kohti valoa ja musiikkia - Philip K. Dickin työ jäi kesken;;Dick, Philip K.
Portti;2;;;1993;Salin, Petri;Näkevätkö androidit unia Philip K. Dickistä?;;Dick, Philip K.
Portti;2;;;1993;Salin, Petri;Philip K. Dickin romaanit lyhyesti;;Dick, Philip K.
Portti;3;;;1982;Rosvall, Matti;Totiset todet ja todet harhat;;Dick, Philip K.
Portti;4;;;2015;Koponen, Jari;Uljas uusi teknomaailma;;Dominik, Hans
Portti;2;;;2013;Iivonen, Jyrki;Fjodor Dostojevski - Maailmankirjallisuuden nero;;Dostojevski, Fjodor
Portti;1;;;1994;Salin, Petri;Baker Streetin Messias;;Doyle, Sir Arthur Conan
Portti;1;;;1992;Salin, Petri;Professori Challenger;;Doyle, Sir Arthur Conan
Portti;1;;;1992;Salin, Petri;Sir Arthur ja Sherlock Holmesin pitkä varjo;;Doyle, Sir Arthur Conan
Portti;2;;;2010;Salin, Petri;Yksityisetsivästä supersankariksi;;Doyle, Sir Arthur Conan
Portti;1;;;2013;Koponen, Jari;Pyramidien varjosta;Egypti;
Portti;4;;;1996;Salin, Petri;12 apinamaista huomiota;Elokuvat;
