Number;Number_extra;Count;Year;Editor;Image_src;Pages;Size;Link;Notes
;;1;1981;Lindgren, Kari;;132;;;
;;2;1981;Lindgren, Kari;;132;;;
;;3;1981;Lindgren, Kari;;132;;;
;;4;1981;Lindgren, Kari;;132;;;
;;5;1982;Lindgren, Kari;;132;;;
;;6;1982;Lindgren, Kari;;132;;;
;;7;1982;Lindgren, Kari;;132;;;
;;8;1982;Lindgren, Kari;;132;;;
;;9;1983;Lindgren, Kari;;132;;;
