Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Tähtivaeltaja;1;;;1993;Lehtonen, Kimmo;Dan Simmons bibliografia;Bibliografia;Simmons, Dan
Tähtivaeltaja;4;;;1990;Jerrman, Toni;Norman Spinrad bibliografia;Bibliografia;Spinrad, Norman
Tähtivaeltaja;3;;;1992;Sterling, Bruce;Bruce Sterling bibliografia;Bibliografia;Sterling, Bruce
Tähtivaeltaja;1;;;2016;Leinonen, Anne;Jyrki Vainonen bibliografia;Bibliografia;Vainonen, Jyrki
Tähtivaeltaja;2;;;2005;Hlinovsky, Jan & Halme, Jukka;Howard Waldrop bibliografia;Bibliografia;Waldrop, Howard
Tähtivaeltaja;2;;;1995;Linnankivi, Jyrki & Jerrman, Toni;Poppy Z. Brite - New Orleansin neitsyt;;Brite, Poppy Z.
Tähtivaeltaja;2;;;1989;Hinkkanen, Juhani;John Brunner Again;;Brunner, John
Tähtivaeltaja;3;;;1989;Brunner, John;John Brunnerin kunniavieraspuhe Finncon 89:ssä;;Brunner, John
Tähtivaeltaja;4;;;2013;Neuvonen, Sini;Lois McMaster Bujold - Genret iloisesti sekaisin;;Bujold, Lois McMaster
Tähtivaeltaja;2;;;2001;Kumpulainen, Minna;Lentävien koirien maa;;Carroll, Jonathan
Tähtivaeltaja;3;;;1994;Kumpulainen, Minna;Lentävien enkeleiden maa;;Carroll, Jonathan
Tähtivaeltaja;4;;;2001;Jerrman, Toni;Valkeita omenia ja puhuvia koiria;;Carroll, Jonathan
Tähtivaeltaja;1;;;2005;Blommila, Hannu;Haudan partaalta;;Chapman, Stepan
Tähtivaeltaja;4;;;2006;Jerrman, Toni;Surrealistisen sanataiteen mestari;;Chapman, Stepan
Tähtivaeltaja;2;;;2004;Blommila, Hannu;Haudan partaalta;;Chiang, Ted
Tähtivaeltaja;3;;;2016;Suntila, Shimo;Fantasiamaestro Malesiasta;;Cho, Zen
Tähtivaeltaja;4;;;2013;Jerrman, Toni;Avaruustyttö-patsaan luoja;Dean Clayton;
Tähtivaeltaja;3;;;2012;Jerrman, Toni;Ernest Cline - Mechagodzilla vastaan Pac-Man;;Cline, Ernest
Tähtivaeltaja;1;;;2005;Halme, Jukka;John Clute - Mies joka tietää;;Clute, John
Tähtivaeltaja;3;;;2003;Leinonen, Anne;Con conia, juustoa ja maitoa - henkilökohtainen Finncon X - Eurocon 2003 -tilitys;Finncon, Conit Suomessa;
Tähtivaeltaja;3;;;2004;Leinonen, Anne;Finncon 04 - Antakaa outouden elää!;Finncon, Conit Suomessa;
Tähtivaeltaja;3;;;2004;Sisättö, Vesa;Finncon 04 - Monta päivää kännissä;Finncon, Conit Suomessa;
Tähtivaeltaja;3;;;2004;Sarén, Ari-Matti;Finncon 04 - Operaatio Animecon III;Finncon, Conit Suomessa;
Tähtivaeltaja;3;;;2006;Sisättö, Vesa;Finncon 2006 - Kuinka järjestää conia pöhnässä;Finncon, Conit Suomessa;
Tähtivaeltaja;4;;;1986;Jerrman, Toni;Finncon 86 kulissien takaa;Finncon, Conit Suomessa;
Tähtivaeltaja;4;;;1986;Sirkiä, Pekka;Finncon 86 revisited;Finncon, Conit Suomessa;
Tähtivaeltaja;3;;;1989;Jerrman, Toni;Finncon 89;Finncon, Conit Suomessa;
Tähtivaeltaja;3;;;1991;Jerrman, Toni;Finncon 91;Finncon, Conit Suomessa;
Tähtivaeltaja;3;;;1995;Veintie, Ari;Finncon 95 ei pystynyt tarjoamaan kaikkea!;Finncon, Conit Suomessa;
Tähtivaeltaja;4;;;1988;Jerrman, Toni;It's party time! Halloween-naamiaiset, Zombie-ilta, Pikkujoulut.;Tapahtumat Suomessa;
Tähtivaeltaja;3;;;2009;Leinonen, Anne;Suurin ja kaunein kävi täällä;Finncon, Conit Suomessa;
Tähtivaeltaja;4;;;1985;Larmola, Kivi & Sinisalo, Johanna & Manninen, Pekka A. & Hinkkanen, Juhani & Jerrman, Toni;Tamcon science fiction -kongressi Tampereella 19.-21.1985;Conit Suomessa;
Tähtivaeltaja;3;;;1992;Jerrman, Toni;Tampere-a-go-go;Tapahtumat Suomessa, Huviretki tienpientareelle, Viikinsaari;
Tähtivaeltaja;2;;;1986;Jerrman, Toni;Turun SF seura 10 vuotta;Tapahtumat Suomessa, Fandom;
Tähtivaeltaja;2;;;2007;Jerrman, Toni & Kumpulainen, Minna;Tähtivaeltaja-päivä - Dubrovnik Lounge & Lobby 5.5.2007;Conit Suomessa, Tähtivaeltaja-päivä;
Tähtivaeltaja;4;;;2002;Kumpulainen, Minna;Tähtivaeltaja-päivän kuvasatoa;Conit Suomessa, Tähtivaeltaja-päivä;
Tähtivaeltaja;3;;;2017;Jerrman, Toni;Worldcon 75;Conit Suomessa, Worldcon;
Tähtivaeltaja;2;;;2007;Ykspetäjä, Tero;Åcon - tieteispiraatit maailman laidalla;Conit Suomessa, Åcon;
Tähtivaeltaja;3;;;1990;Jerrman, Toni;Aina hiki ja koko ajan Heineken - ConFiction '90;Worldcon, Conit ulkomailla;
Tähtivaeltaja;3;;;1988;Jerrman, Toni;Eurocon 88;Eurocon, Conit ulkomailla;
Tähtivaeltaja;3;;;1987;Peltonen, Leena & Sinisalo, Johanna;Fragmentaarisia observointeja maailmancon-nimisestä entiteetistä;Worldcon, Conit ulkomailla;
Tähtivaeltaja;3;;;1987;Jerrman, Toni;Huorrrr-rra!!! - Conspiracy'87;Worldcon, Conit ulkomailla;
Tähtivaeltaja;3;;;2005;Sisättö, Vesa;Interaction, Glasgow - Kännissä ulkomailla;Worldcon, Conit ulkomailla;
Tähtivaeltaja;2;;;1987;Jerrman, Toni;Kuitenkin me kuolemme, elä elämäsi niin kuin me - Suomalaisten sf-fanien ruotsinmatka 20.-21.3.-87;Tapahtumat ulkomailla;
Tähtivaeltaja;4;;;1984;Jerrman, Toni;Matkalla maineeseen;Matkat ulkomailla;
Tähtivaeltaja;2;;;1993;Jerrman, Toni;Ryypäten läpi pääsiäisen eli Jersey sightseeing;Conit ulkomailla;
Tähtivaeltaja;3;;;2002;Halme, Jukka;Sekaisin svedupellejen maassa;Swecon, Conit ulkomailla;
Tähtivaeltaja;1;;;1986;Jerrman, Toni;Swecon 85;Swecon, Conit ulkomailla;
Tähtivaeltaja;4;;;1993;Veintie, Ari;Tallinna onnen koti eli elää ja kuolla uudestaan Etelä-Suomessa;Matkat ulkomailla;
Tähtivaeltaja;1;;;1995;Lehtonen, Kimmo;Kohtaloiden goottilainen kutojatar;;Constantine, Storm
Tähtivaeltaja;2;;;1990;Veintie, Ari;Lisää chippejä prosessoriin - cyperpunk lukuvinkkejä;Cyberpunk;
Tähtivaeltaja;2;;;1993;Lehtonen, Kimmo;Post-cyberpunk eli uuden sukupolven manifesteja;Cyberpunk;
Tähtivaeltaja;3;;;1988;Jaeger, Eeva;Silmäilyjä cyberpunkin ympärillä;Cyberpunk;
Tähtivaeltaja;2;;;1993;Kumpulainen, Minna;Roald Dahl - senkin märkäinen ienajos!;;Dahl, Roald
Tähtivaeltaja;4;;;2006;Blommila, Hannu;Haudan partaalla;;Danielewski, Mark Z.
Tähtivaeltaja;2;;;2015;Lehtonen, Kimmo;Rjurik Davidson - Filosofi-salamurhaaja maailman ääristä;;Davidson, Rjurik
Tähtivaeltaja;2;;;2013;Halme, Jukka;Aliette de Bodard - Perhonen alttarilla;;de Bodard, Aliette
Tähtivaeltaja;3;;;2004;Blommila, Hannu;Haudan partaalta;;De Haven, Tom
Tähtivaeltaja;4;;;1995;Jerrman, Toni;Samuel Delany - 18 kovaa kysymystä;;Delany, Samuel R.
Tähtivaeltaja;1;;;1995;Jerrman, Toni;Samuel R. Delany - lyhyt oppimäärä;;Delany, Samuel R.
Tähtivaeltaja;1;;;1990;Manninen, Pekka A.;Das Kapital II - Philip K. Dick ja yhteiskunta taistelukenttänä;;Dick, Philip K.
Tähtivaeltaja;1;;;1987;Sinisalo, Johanna;Kolme porrasta Philip K. Dickiin;;Dick, Philip K.
Tähtivaeltaja;1;;;1987;Hinkkanen, Juhani & Lehtonen, Kimmo & Jerrman, Toni;Minun Dickini;;Dick, Philip K.
Tähtivaeltaja;1;;;1990;Jerrman, Toni;Minun Dickini;;Dick, Philip K.
Tähtivaeltaja;3;;;1993;Manninen, Pekka A. & Sinisalo, Johanna & Norkola, Tero & Drews, Kristiina & Rosvall, Matti & Helen, Ilpo;Oletko kone? Philip K. Dickin visiot;;Dick, Philip K.
Tähtivaeltaja;1;;;1987;Jerrman, Toni;Philip K. Dick - elämää, teoksia ja houreita;;Dick, Philip K.
Tähtivaeltaja;1;;;1987;Lem, Stanislaw;Philip K. Dick - näkijä sarlataanien joukossa;;Dick, Philip K.
Tähtivaeltaja;2;;;1992;Norkola, Tero;Philip K. Dick Hervannassa;;Dick, Philip K.
Tähtivaeltaja;1;;;1990;Jerrman, Toni & Drews, Kristiina;Philip K. Dick novellistina - Suomentaja Kristiina Drews puhuu pieneen mustaan laatikkoon, joka nauhoittaa salaisimmatkin ajatukset sensuuria ja yhteiskunnallisia valvontaelimiä varten;;Dick, Philip K.
Tähtivaeltaja;3;;;2008;Blommila, Hannu;Haudan partaalla;;Disch, Thomas M.
Tähtivaeltaja;4;;;2013;Jerrman, Toni;Doctor Whon puoli vuosisataa;Televisio, Doctor Who;
Tähtivaeltaja;1;;;2006;Roimola, Ben;Kuinka jakaa kirjoja ilmaiseksi verkossa ja silti tienata elanto kirjailijana;;Doctorow, Cory
Tähtivaeltaja;1;;;2006;Jerrman, Toni;Verkon harjalla;;Doctorow, Cory
Tähtivaeltaja;2;;;2018;Hiltunen, Jari Olavi;Fjodor Dostojevski fantasiakirjailijana - Spefi-kertomu;;Dostojevski, Fjodor
Tähtivaeltaja;3;;;2007;Polvinen, Merja;Hal Duncan - kieli iholla (ja joskus poskessa);;Duncan, Hal
Tähtivaeltaja;4;;;2009;Jerrman, Toni;Hal Duncan Tähtivaeltajan kryosohvalla;;Duncan, Hal
Tähtivaeltaja;4;;;1997;Blommila, Hannu;Greg Egan: neljäkymmentäkaksi tapaa määritellä maailmankaikkeus;;Egan, Greg
Tähtivaeltaja;1;;;2007;Jerrman, Toni;Warren Ellis - Scifi-sarjakuvan kipakka kapinallinen;Sarjakuvat;Ellis, Warren
Tähtivaeltaja;4;;;1993;Tirkkonen, Olav;Ellisonin ihmemaassa;;Ellison, Harlan
Tähtivaeltaja;4;;;2019;Leikomaa, Marianna;Amal El-Mohtar - Sanantaitaja;;El-Mohtar, Amal
Tähtivaeltaja;1;;;2006;Rautsi, Ilja;A Sound of Thunder;Elokuvat;
Tähtivaeltaja;2;;;2005;Rautsi, Ilja;Amicus - Episodikauhun uranuurtaja;Elokuvat;
Tähtivaeltaja;4;;;2001;Hiltunen, Petri;Atlantiksen puolustajat;Elokuvat;
Tähtivaeltaja;2;;;1997;Lehtinen, Lauri;Battle of the Stars;Elokuvat;
Tähtivaeltaja;3;;;2003;Hiltunen, Petri;Bionic Showdown;Elokuvat;
Tähtivaeltaja;4;;;1986;Wilhelmsson, Putte;Blade Runner - Job 10:4-17;Elokuvat;
Tähtivaeltaja;4;;;2014;Jerrman, Toni;Brontis Jodorowsky - Elämän tanssi;Elokuvat;
Tähtivaeltaja;3;;;1997;Kinnunen, Kalle;Chow Yun-Fat;Elokuvat;
Tähtivaeltaja;2;;;2002;Jerrman, Toni;Christopher Lee Suomessa;Elokuvat;
Tähtivaeltaja;2;;;1999;Jerrman, Toni;Dario Argento - Night Visions, Kesäyön unelma;Elokuvat;
Tähtivaeltaja;4;;;2001;McDonagh, Maitland;David Cronenberg ja Crash;Elokuvat;
Tähtivaeltaja;2;;;1999;Jerrman, Toni;David F. Friedman - eksploitaatioelokuvan kruunaamaton kuningas;Elokuvat;
Tähtivaeltaja;3;;;2001;McDonagh, Maitland;Dellamorte Dellamore ja Michele Soavi;Elokuvat;
Tähtivaeltaja;1;;;1996;Manninen, Pekka A.;Dinosaurusten paluu;Elokuvat;
Tähtivaeltaja;2;;;2000;Hakkarainen, Tuomas;Duncan Jax: Kulta-aarteen metsästys;Elokuvat;
Tähtivaeltaja;4;;;1995;Jerrman, Toni;Edward D. Wood;Elokuvat;
Tähtivaeltaja;3;;;2008;Rautsi, Ilja;Elokuvaa suurempia visioita - Katastrofeja valkokankaan molemmin puolin;Elokuvat;
Tähtivaeltaja;3;;;1997;Jerrman, Toni;Escape From L.A.;Elokuvat;
Tähtivaeltaja;3;;;2000;Jerrman, Toni;Espoo Cine;Elokuvat;
Tähtivaeltaja;3;;;2001;Jerrman, Toni;Espoo Ciné;Elokuvat;
Tähtivaeltaja;3;;;2002;Jerrman, Toni;Espoo Ciné;Elokuvat;
Tähtivaeltaja;3;;;2003;Jerrman, Toni;Espoo Ciné;Elokuvat;
Tähtivaeltaja;3;;;2005;Jerrman, Toni;Espoo Ciné 2005;Elokuvat;
Tähtivaeltaja;3;;;2006;Jerrman, Toni;Espoo Ciné 2006;Elokuvat;
Tähtivaeltaja;4;;;2007;Jerrman, Toni;Espoo Ciné 2007;Elokuvat;
Tähtivaeltaja;3;;;2008;Jerrman, Toni;Espoo Ciné 2008;Elokuvat;
Tähtivaeltaja;4;;;2009;Jerrman, Toni;Espoo Ciné 2009;Elokuvat;
Tähtivaeltaja;3;;;2010;Rautsi, Ilja;Espoo Ciné 2010;Elokuvat;
Tähtivaeltaja;3;;;2011;Jerrman, Toni;Espoo Ciné 2011;Elokuvat;
Tähtivaeltaja;3;;;1999;Jerrman, Toni;Espoo Ciné ja eurooppalainen fantasiaelokuva;Elokuvat;
Tähtivaeltaja;1;;;1998;Hiltunen, Petri;Flesh Gordon;Elokuvat;
Tähtivaeltaja;4;;;2014;Hiltunen, Petri & Virolainen, Nalle;Foliohatun alla: Blade Runner;Elokuvat;
Tähtivaeltaja;4;;;2018;Hiltunen, Petri & Virolainen, Nalle;Foliohatun alla: George A. Romeron zombiet;Elokuvat;
Tähtivaeltaja;1;;;2018;Hiltunen, Petri & Virolainen, Nalle;Foliohatun alla: Hellraiser ja Hellbound: Hellraiser II;Elokuvat;
