Lehti;Number;Number_extra;Count;Year;Tekijä;Artikkeli;Aihe;Viitteet
Finnzine;1;;;1991;Anonyymi;Turun Sf-seura tempaisi fantasiapidoillaan;Tapahtumat Suomessa;
Finnzine;3;;;2002;Salminen, Katja;Täällä Suomen Turku;Tapahtumat Suomessa, Kilpailut, Nova;
Finnzine;2;;;2005;Sirkiä, Pekka;Viikinsaaressa '05 - jälleen kerran;Tapahtumat Suomessa;
Finnzine;3;;;2002;Saario, Mari;Eurocon veitsen terällä;Conit ulkomailla, Eurocon;
Finnzine;3;;;2002;Sirkiä, Pekka;Kolmannen asteen yhteys latvialaiseen tapaan;Conit ulkomailla, BaltCon;
Finnzine;3;;;2006;Hirsjärvi, Irma;Kuinka Kum-Maa on kaikkialla;Conit ulkomailla;
Finnzine;1;;;2006;Hlinovsky, Jan;Pienkustantajan perheloma;Conit ulkomailla;
Finnzine;3;;;1992;Heiskanen, Jussi-Ville;Pratchett hauskutti T-holmassa - Fantastika;Conit ulkomailla, Swecon;
Finnzine;3;;;1993;Heiskanen, Jussi-Ville;Suomalaiszombeja ja burleskeja seuraleikkejä;Conit ulkomailla;
Finnzine;3;;;1994;Ronni, Tapani;Suomella hyvä sauma Euroconin järjestämiseen;Conit ulkomailla;
Finnzine;3;;;2005;Soikkeli, M.G.;Worldcon Glasgowissa;Conit ulkomailla, Worldcon;
Finnzine;3;;;1992;Anonyymi;WorldCon veti 6000 fania;Conit ulkomailla, Worldcon;
Finnzine;4;;;1993;Ronni, Tapani;Dinopuiston kasvatit;;Crichton, Michael
Finnzine;2;;;1994;Heiskanen, Jussi-Ville;Dinosauruspuiston ajatuskatedraalit;;Crichton, Michael
Finnzine;2;;;1996;Hurtta, Boris;Keisarin vaatekomerossa;;Eco, Umberto
Finnzine;2;;;1995;Tirkkonen, Olav;200 000 000 dollarin leffa;Elokuvat;
Finnzine;2;;;2006;Lappalainen, Markku;Aeon Flux;Elokuvat;
Finnzine;1;;;1994;Supinen, Pekka & Sirkiä, Pekka;Ajan lyhyt historia;Elokuvat;
Finnzine;1;;;1998;Lappalainen, Markku;Alien Resurrection;Elokuvat;
Finnzine;1;;;1996;Supinen, Pekka & Sirkiä, Pekka;Apinat asialla;Elokuvat;
Finnzine;2;;;1998;Supinen, Pekka & Sirkiä, Pekka & Krooks, Timo Vesa;Armageddon;Elokuvat;
Finnzine;1;;;2004;Lappalainen, Markku;Big Fish;Elokuvat;
Finnzine;3;;;1996;Supinen, Pekka;Billy Zanen Mustis;Elokuvat;
Finnzine;4;;;1996;Lappalainen, Markku;Borg-riiviöt pelastavat;Elokuvat;
Finnzine;4;;;1998;Lappalainen, Markku;Cinefantastique - sf-elokuvakuvalehtien valio;Elokuvat;
Finnzine;1;;;2005;Lappalainen, Markku;Constantine;Elokuvat;
Finnzine;3;;;1997;Lappalainen, Markku;Contact - Ensimmäinen yhteys;Elokuvat;
Finnzine;1;;;2008;Lappalainen, Markku;Dante 01;Elokuvat;
Finnzine;2;;;1996;Supinen, Pekka;Eraser tykittää tylsästi;Elokuvat;
Finnzine;4;;;2001;Lappalainen, Markku;Evoluution hampaat - eli purivatko kesäiset sf-elokuvat?;Elokuvat;
Finnzine;3;;;2003;Lappalainen, Markku;Hulk;Elokuvat;
Finnzine;3;;;2004;Lappalainen, Markku;I, Robot ;Elokuvat;
Finnzine;2;;;1993;Heiskanen, Jussi-Ville;Jurassic Park;Elokuvat;
