Number;Number_extra;Count;Year;Editor;Image_src;Pages;Size;Link;Notes;Title;Alternate_numbering
;;1;1992;;;;A5;;Mytagon ensimmäinen numero.;;
;;2;1992;Hepo-oja, Risto;;40;A5;;Kansi: Eppu;;
;;3;1993;;;;A5;;;;
;;4;1993;Soininen, Petteri;;36;A5;;Kansi: Risto Hepo-oja;;
;;5;1994;Soininen, Petteri;;36;A5;;Kansi: Sampo Marjomaa;;
;;6;1994;;;;A5;;;;
;;7;1995;Soininen, Petteri;;32;A5;;Kansi: Ville Koli;;
