Lehti;Number;Number_extra;Count;Year;Tekijä;Novelli;Alkup-novelli;Alkup-vuosi;Suomentaja;runo;raapale;filk
Usva;2;;;2009;Katajala, Jussi;Noitanaisen älä anna elää;;;;;;
Usva;2;;;2007;Katajala, Jussi;Vetehinen;;;;;;
Usva;2;;;2009;Kaukonen, Katja;Täti;;;;;;
Usva;1;;;2015;Kauppila, Suvi;Enkelien aneet;;;;;;
Usva;1;;;2014;Kauppinen, Jenni;Varas ja varjo;;;;;;
Usva;4;;;2010;Kejonen, Rauha;Mies ja hevonen;;;;;;
Usva;1;;;2015;Kelosaari, Artemis;Pyhä Johannes Mätänemätön;;;;;;
Usva;2;;;2015;Kelosaari, Artemis;Värise, värise, väärintekijä;;;;;;
Usva;2;;;2005;Kivilahti, Katja;Ikiroudan tarinat;;;;;;
Usva;3;;;2010;Kohonen, Siria;Yövieras;;;;;;
Usva;1;;;2015;Kokkonen, Ari;Digitalisoituminen;;;;;raapale;
Usva;1;;;2015;Kokkonen, Ari;Suljettu;;;;;raapale;
Usva;1;;;2015;Kokkonen, Ari;Äiti;;;;;raapale;
Usva;1;;;2015;Kontro, Inkeri;Huokaava talo;;;;;;
Usva;1;;;2016;Kontro, Inkeri;Valkeita kuulaita;;;;;;
Usva;2;;;2015;Kontro, Inkeri;Vierasta viljaa;;;;;;
Usva;2;;;2015;Korpinen, Eero;Nisulan syvänteeltä;;;;;;
Usva;2;;;2013;Koskelainen, Toni;Uudisraivaajat;;;;;;
Usva;2;;;2012;Koskimies, Markus;Kun robotti puree, lyö tai räjähtää. Onko kotirobotin ostaminen turvallista?;;;;;;
Usva;3;;;2010;Koskimies, Markus;Pirunmalja;;;;;;
Usva;1;;;2010;Koskimies, Markus;Suojelusenkeli;;;;;;
Usva;4;b;;2010;Koskimies, Markus;Vilukissa;;;;;;
Usva;1;;;2010;Koskinen, Juha-Pekka;Kaidalle polulle;;;;;;
Usva;2;;;2005;Koskinen, Juha-Pekka;Kirjailija joka ei koskaan julkaissut mitään;;;;;;
Usva;1;;;2007;Koskinen, Juha-Pekka;Metsästäjät;;;;;;
Usva;2;;;2006;Koskinen, Juha-Pekka;Sydänystävä;;;;;;
Usva;3;;;2009;Kosonen, Eini;Vesi verta kirkkaampaa;;;;;;
Usva;3;;;2010;Kuha, Saara;Keijukainen;;;;;;
Usva;4;;;2005;Kuutio, Aleksi;Kylän vakain käsi;;;;;;
Usva;3;;;2009;Kyllijoki, Helena;Muumiokukka;;;;;;
Usva;3;;;2009;Kärkkäinen, Marita;Kylä;;;;;;
Usva;1;;;2008;Laajarinne, Jukka;Viriliviri;;;;;;
Usva;1;;;2008;Lahtinen, Anu Maaret;Vihreä palaa;;;;;;
Usva;1;;;2008;Laine, Petri;Albedo nolla;;;;;;
Usva;1;;;2005;Laine, Petri;Johnnyn laki;;;;;;
Usva;3;;;2005;Laine, Petri;Jälkikuva;;;;;;
Usva;3;;;2006;Laine, Petri;Kuolleet puutarhat;;;;;;
Usva;4;;;2009;Laine, Petri;L.A.P.S.I;;;;;;
Usva;1;;;2006;Laine, Petri;Lordi Wesleyn perintö;;;;;;
Usva;1;;;2013;Laine, Petri;Maan jälki;;;;;;
Usva;2;;;2006;Laine, Petri;Maan varjo;;;;;;
Usva;3;;;2005;Laine, Petri;Ratkaisematon;;;;;;
Usva;3;;;2005;Laine, Petri;Suuri kuulemisen tuoma vapautus;;;;;;
Usva;4;b;;2010;Laine, Petri;Viimeinen;;;;;;
Usva;2;;;2008;Laslo, Katriina;Miskupuuskun toive;;;;;;
Usva;4;;;2008;Laurila, Natalia;Biologinen käkikello;;;;;;
Usva;1;;;2006;Laurila, Natalia;Kaikki mitä rukoilin;;;;;;
Usva;2;;;2006;Laurila, Natalia;Yksi pieni musta langanpätkä;;;;;;
Usva;3;;;2013;Lauronen, Mika-Petri;Kaivoonkatsoja;;;;;;
Usva;2;;;2010;Lehtiö, Jaana;Todellinen kirjoittaminen;;;;;;
Usva;2;;;2013;Leijon, Maarit;Tekeekö tämä varjo minut lihavan näköiseksi?;;;;;;
Usva;1;;;2014;Leijon, Maarit;Yö;;;;;;
Usva;4;;;2007;Leinonen, Anne;Todelliset kasvot;;;;;;
Usva;3;;;2009;Lepistö, Pirja;Kisälli alla kuiden;;;;;;
Usva;2;;;2016;Leppä, Elli;Puskemaan apilaa;;;;;;
Usva;2;;;2008;Leppä, Elli;Umein suru;;;;;;
Usva;2;;;2015;Lin, Lucilla;Esi-isien kieli;;;;;;
Usva;3;;;2010;Lintunen, Venla;Muovielämää;;;;;;
Usva;3;;;2010;Loimala, Päivi;Saarenmaan valssi;;;;;;
Usva;4;;;2010;Malinen, Anna;Kimmo;;;;;;
Usva;1;;;2009;Malinen, Anna;Veistäjä;;;;;;
Usva;4;;;2010;Malinen, Anna;Viti;;;;;;
Usva;1;;;2013;Martelius, Hanne;Kansassa kasuavassa;;;;;;
Usva;3;;;2009;Maunuksela, Klaus;Ruusukerettiläinen;;;;;;
Usva;1;;;2012;Meresmaa, J.S.;Puhtaan lumen aikaan;;;;;;
Usva;3;;;2009;Meriläinen, Sirpa;Nollapiste;;;;;;
Usva;4;;;2007;Miettinen, J.K.;Lapsellinen, onnellinen;;;;;;
Usva;1;;;2010;Miettinen, J.K.;Niin kaunis;;;;;;
Usva;3;;;2006;Miettinen, J.K.;Raskautettu;;;;;;
Usva;2;;;2007;Miikkola, Maija;Aamunkoitto;;;;;;
Usva;4;;;2012;Morre, Hanna;Metsän kuningatar;;;;;;
Usva;2;;;2012;Musto, Satu;Vuokratyöntekijä;;;;;;
Usva;1;;;2015;Myllymäki, Mia;Peilin perhe;;;;;;
Usva;1;;;2014;Mäki, Merja;He jättivät minut sinne;;;;;;
Usva;3;;;2012;Männikkö, Timo;Meidän korkeutemme;;;;;;
Usva;2;;;2010;Männikkö, Timo;Oh My Darling;;;;;;
Usva;1;;;2016;Nahkuri, Pii;Pyydystä ja vapauta;;;;;;
Usva;3;;;2007;Nevala, Heikki;Herra Tvist;;;;;;
Usva;1;;;2007;Nevala, Heikki;Ihmisten sankarit, jumalten äpärät;;;;;;
Usva;4;;;2010;Nevala, Heikki;Kevättä ei voi estää;;;;;;
Usva;4;;;2009;Nevala, Heikki;Jousenjänne;;;;;;
Usva;2;;;2008;Nevala, Heikki;Muulin jos saisin;;;;;;
Usva;4;;;2005;Nevala, Heikki;Orson Shaneyn kasvot;;;;;;
Usva;2;;;2009;Nevala, Heikki;Salamanteri;;;;;;
Usva;2;;;2008;Niemelä, Marketta;Evelin Epäkade;;;;;;
Usva;1;;;2013;Niemelä, Marketta;Laulava avaruuslaiva;;;;;;
Usva;4;;;2008;Niemelä, Marketta;Västäräkki;;;;;;
Usva;3;;;2012;Niemi, Tero;Taistelutoverit;;;;;;
Usva;2;;;2005;Niemi, Tero & Salminen, Anne;Eräitä kevätpäiviä eli taivaallisen laatikon tapaus;;;;;;
Usva;2;;;2015;Norja, Sara;Vierain silmin;;;;;;
Usva;4;;;2006;Norrman, Nuoska;Ukkoslintu;;;;;;
Usva;3;;;2012;Nummelin, Juri;Hella;;;;;;
Usva;2;;;2007;Nummelin, Juri;Puitten juuret;;;;;;
Usva;2;;;2008;Nummelin, Juri;Saapasjalkakissan viimeiset unet;;;;;;
Usva;4;;;2006;Numminen, Helena;Allahin enkeliksi;;;;;;
Usva;4;;;2007;Numminen, Helena;Hörp slurps verta!;;;;;;
Usva;2;;;2005;Numminen, Helena;Valkoinen sulka;;;;;;
Usva;2;;;2015;Näsi, Liisa;Ruma vauva;;;;;;
Usva;1;;;2009;Paananen, Leila;Saaren perintö;;;;;;
Usva;3;;;2006;Paananen, Leila;Vain ihmisiä;;;;;;
Usva;2;;;2010;Peltonen, Niko;Niin oli kirjoitettu;;;;;;
Usva;4;b;;2010;Peltonen, Niko;Tähdenlento;;;;;;
Usva;1;;;2005;Peltoniemi, Sari;Kainaloinen;;;;;;
Usva;2;;;2007;Peltoniemi, Sari;Klasi;;;;;;
Usva;2;;;2006;Peltoniemi, Sari;Lahjapoika;;;;;;
Usva;2;;;2008;Peltoniemi, Sari;Nälkäiset pojat;;;;;;
Usva;4;;;2012;Penttinen, Olli;Kokeilija;;;;;;
Usva;3;;;2010;Perkiö, Tiina;Palasina;;;;;;
Usva;2;;;2013;Peura, Aleksi;Everlyn Strix;;;;;;
Usva;1;;;2015;Peura, Aleksi;Potilas P;;;;;;
Usva;3;;;2008;Pohjola, Mike;Farared Finnen saaga;;;;;;
Usva;3;;;2006;Raevaara, Tiina;Frida;;;;;;
Usva;4;;;2005;Raevaara, Tiina;Matildan kuolema;;;;;;
Usva;4;;;2006;Raevaara, Tiina;Mäkinen väki;;;;;;
Usva;4;;;2007;Raevaara, Tiina;Sudenkorento;;;;;;
Usva;3;;;2005;Rajaniemi, Hannu;Isännän ääni;;;;;;
Usva;3;;;2006;Rautiainen, Petri;Toimenkuva: Ohjaaja;;;;;;
Usva;3;;;2007;Rautio, Juha;Kun syreenit viimeksi kirkuivat;;;;;;
Usva;3;;;2007;Rautio, Juha;Ullakko;;;;;;
Usva;1;;;2008;Rautio, J.T.V.;Veen kalvakat nuoret neijot;;;;;;
Usva;2;;;2008;Riikonen, Marika;Kokoelman helmi;;;;;;
Usva;4;;;2008;Riikonen, Marika;Melkein viimeinen maailma;;;;;;
Usva;2;;;2009;Riikonen, Marika;Mies, jolle kasvoi myyrän jalka;;;;;;
Usva;2;;;2016;Riikonen, Marika;Pientä hienosäätöä;;;;;;
Usva;1;;;2009;Riikonen, Marika;Pitkän yön aamu;;;;;;
Usva;1;;;2012;Riikonen, Marika;Ryöstäjät;;;;;;
Usva;1;;;2009;Rinne, Miha;G'Rork, vanha kehno;;;;;;
Usva;1;;;2015;Rissanen, G.M.;Tuulivoimala;;;;;;
Usva;3;;;2007;Rosengren, Tommi;Kauppamies;;;;;;
Usva;4;;;2010;Ross, A.C.;Ruumis;;;;;;
Usva;3;;;2016;Saarinen, Toni;Matrjoska-projekti;;;;;;
Usva;1;;;2007;Saario, Mari;Toiset elävät runonsa;;;;;;
Usva;3;;;2013;Saario, Mari;Verisiskot;;;;;;
Usva;4;;;2009;Saarto, Solja;Mestari Hoettenin oppipoika;;;;;;
Usva;2;;;2016;Saarto, Timo;Kreetalla kerran;;;;;;
Usva;4;b;;2010;Salin, Petri;Aikansa kutakin sanoi pässi kun päätä leikattiin;;;;;;
Usva;1;;;2007;Salin, Petri;Exit only;;;;;;
Usva;1;;;2005;Salin, Petri;Suuri kirjasto;;;;;;
Usva;2;;;2005;Salin, Petri;Suuri kuulemisen tuoma vapautus;;;;;;
Usva;2;;;2005;Salminen, Katja;Huuru;;;;;;
Usva;4;;;2008;Salminen, Katja;Oksia, puita, kuolleitten luita;;;;;;
Usva;2;;;2010;Saloranta, Tuomas;Aina voi tiivistää;;;;;;
Usva;4;;;2010;Saloranta, Tuomas;Avaruusloinen;;;;;;
Usva;3;;;2010;Saloranta, Tuomas;Joelta tullut;;;;;;
Usva;1;;;2012;Saloranta, Tuomas;Joku sytytti kynttilän;;;;;;
Usva;3;;;2007;Saloranta, Tuomas;Kesäkissa;;;;;;
Usva;1;;;2007;Saloranta, Tuomas;Lihan lapset;;;;;;
Usva;2;;;2012;Saloranta, Tuomas;Maailmanlopun puhelinmyyjät;;;;;;
Usva;4;b;;2010;Saloranta, Tuomas;Merestä nousi pää;;;;;;
Usva;4;;;2010;Saloranta, Tuomas;Nuori mies nimetön;;;;;;
Usva;1;;;2015;Saloranta, Tuomas;Prinsessan kosinta;;;;;;
Usva;3;;;2008;Saloranta, Tuomas;Vhalkiirin tytär;;;;;;
Usva;2;;;2013;Seppälä, Jaakko Markus;Minuun kirjoitetaan;;;;;;
Usva;4;;;2012;Seppälä, Jaakko Markus;Valiojoukko;;;;;;
Usva;3;;;2012;Sinisalo, Henna;Opetusluuranko;;;;;;
Usva;3;;;2007;Sipiläinen, Tarja;Kryptomaniaa;;;;;;
Usva;3;;;2010;Sipiläinen, Tarja;Minne vain katsonkin;;;;;;
Usva;3;;;2010;Sipiläinen, Tarja;Tähdenlento;;;;;;
Usva;4;;;2005;Sipiläinen, Tarja;Täydellistä elämää;;;;;;
