creator_str,title,misc,imported_string
"Viljanen, Lauri",Atlantis,".en kirja","
<b>Atlantis</b>. (Runoelma). Suomen kirja 1940. [F]."
"Vinge, Joan (Carol) D(ennison)","Lost in Space - matkalla avaruuteen",". Perustuu Akiva Goldsmanin elokuvakäsikirjoitukseen.","
<b>Lost in Space - matkalla avaruuteen</b>. (Lost in Space, 1998). Perustuu 
Akiva Goldsmanin elokuvakäsikirjoitukseen. Suom Tero Kuittinen. Otava 1998. [SF]."
"Voss, Richard","Amata - aavetaru",". Toimitus ja jälkisanat Reijo Valta. Osuuskunta Jyväs-Ainola","
<b>Amata - aavetaru</b>. (Amata, 1901). Toimitus ja jälkisanat Reijo Valta. Osuuskunta Jyväs-Ainola 2015. [F]."
"Vuorela, Ville","Praedor - Käärmetanssija",". Kuvitus Petri Hiltunen.","
<b>Praedor - Käärmetanssija</b>. Kuvitus Petri Hiltunen. Arktinen Banaani 2016. [F]."
"Vuorela, Ville","Praedor - Verivartio",". Kuvitus Petri Hiltunen.","

<b>Praedor - Verivartio</b>. Kuvitus Petri Hiltunen. Täysi käsi 2019. [F]."
"Välisalmi, Heikki","Tuhatvuotinen valtakunta",". Nelinäytöksinen näytelmä Upton Sinclairin romaanin mukaan.","
<b>Tuhatvuotinen valtakunta</b>. Nelinäytöksinen näytelmä Upton Sinclairin 
romaanin mukaan. Kansanvallan näytelmistö 2. Kansanvalta 1928. [SF]."
"Walpole, Horace","Otranton linna",".  Jälkisanat Janne Tunturi.","
<b>Otranton linna</b>. (The Castle of Otranto, 1764). Suom Päivi Mehtonen ja Jyrki Siukonen. Jälkisanat Janne Tunturi. Faros-kustannus Oy 2015. [K]."
"Wells, H(erbert) G(eorge)","Hämähäkkilaakso / Eräitä kertoelmia",Yhteislaitos.,"

<a href=""novkok/wel-he.htm"">
<b>Hämähäkkilaakso / Eräitä kertoelmia</b></a>. Yhteislaitos. Suom Werner Anttila. Tiberius kirjat 2019. [SF,F,kok]."
"Wells, H(erbert) G(eorge)","Kauhun saari",". (Lyhennelmä).","

<b>Kauhun saari</b>. (The Island of Doctor Moreau, 1896). (Lyhennelmä). Suom Teppo Heino. Suomi 1920. [SF]."
"Wells, H(erbert) G(eorge)","Nykyaikainen utopia",".  Kustannus","

<b>Nykyaikainen utopia</b>. (A Modern Utopia, 1905). Suom Ville-Juhani Sutinen. Savukeidas Kustannus 2006. [SF]."
"Wells, H(erbert) G(eorge)","Nykyisen ajan kertomuksia",". Yhteisnide teoksista: Varastettu basilli ja muita kertomuksia; Voimakoneitten herra ja muita tapauksia; Hämähäkkilaakso ja muita kertomuksia.","

<b>Nykyisen ajan kertomuksia</b>. Yhteisnide teoksista: Varastettu basilli ja muita kertomuksia; Voimakoneitten herra ja muita tapauksia; Hämähäkkilaakso ja muita kertomuksia. Kansa 1907. [F,SF,kok]."
"Wells, H(erbert) G(eorge)","Punainen huone","Toim Markku Sadelehto..","

<a href=""novkok/wel-ph.htm"">
<b>Punainen huone</b></a>. Toim Markku Sadelehto. Suom Matti Rosvall. FAN-sarja. WSOY 1994. [F,K,kok]."
"Wells, H(erbert) G(eorge)",Uni,".  Kirja","

<b>Uni</b>. (The Dream, 1924). Suom Väinö Nyman. Kirja 1926. [SF]."
"White, T(erence) H(anbury)","Muinainen ja tuleva kuningas",". (The Once and Future King,  (sisältää teokset The Sword in Stone, 1938; The Queen of Air and Darkness, 1939; The Ill-Made Knight, 1940; The Candle in the Wind, 1940); The Book of Merlyn, 1977).  2018.","
<b>Muinainen ja tuleva kuningas</b>. (The Once and Future King, 1958 (sisältää teokset The Sword in Stone, 1938; The Queen of Air and Darkness, 1939; The Ill-Made Knight, 1940; The Candle in the Wind, 1940); The Book of Merlyn, 1977). Suom Pekka Tuomisto. Vaskikirjat 2018. [F]."
"Wuorio, Mary A. (toim.)","Aikamme tieteislukemisto 1: elokuu",". Galaxy Science Fiction Magazinen mukaan.","
<b>Aikamme tieteislukemisto 1: elokuu</b>. Galaxy Science Fiction Magazinen 
mukaan. Viikkosanomat Oy 1958. [SF,kok]."
"Wuorio, Mary A. (toim.)","Aikamme tieteislukemisto 2: syyskuu",". Galaxy Science Fiction Magazinen mukaan.","

<b>Aikamme tieteislukemisto 2: syyskuu</b>. Galaxy Science Fiction Magazinen 
mukaan. Viikkosanomat Oy 1958. [SF,kok]."
"Wuorio, Mary A. (toim.)","Aikamme tieteislukemisto 3: lokakuu",". Galaxy Science Fiction Magazinen mukaan.","

<b>Aikamme tieteislukemisto 3: lokakuu</b>. Galaxy Science Fiction Magazinen 
mukaan. Viikkosanomat Oy 1958. [SF,kok]."
"Wuorio, Mary A. (toim.)","Aikamme tieteislukemisto 4: marraskuu",". Galaxy Science Fiction Magazinen mukaan.","

<b>Aikamme tieteislukemisto 4: marraskuu</b>. Galaxy Science Fiction Magazinen 
mukaan. Viikkosanomat Oy 1958. [SF,kok]."
"Wuorio, Mary A. (toim.)","Aikamme tieteislukemisto 5: joulukuu",". Galaxy Science Fiction Magazinen mukaan.","

<b>Aikamme tieteislukemisto 5: joulukuu</b>. Galaxy Science Fiction Magazinen 
mukaan. Viikkosanomat Oy 1958. [SF,kok]."
"Ijäs, Jyrki (toim.)","Ensimmäinen yhteys",", Tapani Ronni, Jorma-Veikko Sappinen, Seppo Sipilä & Leena Peltonen.","
<a href=""novkok/ija-ey.htm"">
<b>Ensimmäinen yhteys</b></a>. Suom Veikko Rekunen, Tapani Ronni, Jorma-Veikko 
Sappinen, Seppo Sipilä & Leena Peltonen. Tieteissarja 1. Pirkanmaan Kirjapaino ja Lehtikustannus Oy 1988. [SF,kok]."
"Ingman, A(lfred) E(mil)","Kahden taalarin raha",". Kirja","
<b>Kahden taalarin raha</b>. Kirja 1917. [nF]."
"Ingman, A(lfred) E(mil)","Latvasaaren kuninkaan hovilinna",". Kirja","

<b>Latvasaaren kuninkaan hovilinna</b>. Kirja 1916. [nF]."
"Ingman, A(lfred) E(mil)","Rimpisuon usvapatsas",". Kirja","

<b>Rimpisuon usvapatsas</b>. Kirja 1915. [nF]."
"Ishiguro, Kazuo","Haudattu jättiläinen",".. ,","
<b>Haudattu jättiläinen</b>. (The Buried Giant, 2015). Suom Helene Bützow. Keltainen kirjasto 472, Tammi 2016. [F]."
"Ishiguro, Kazuo","Ole luonani aina",".. ,","

<b>Ole luonani aina</b>. (Never Let Me Go, 2005). Suom Helene Bützow. Keltainen kirjasto 367, Tammi 2005. [SF]."
"Jacques, Brian","Jalokivien jäljillä",".  Runojen suom Jukka Itkonen.","

<b>Jalokivien jäljillä</b>. Redwallin taru 9. (The Pearls of Lutra, 1996). Suom Mika Kivimäki. Runojen suom Jukka Itkonen. Otava 2002. [nF]."
"Jacques, Brian","Salamandastronin aarre",".  Runojen suom Jukka Itkonen.","

<b>Salamandastronin aarre</b>. Redwallin taru 5. (Salamandastron, 1992). Suom Mika Kivimäki. Runojen suom Jukka Itkonen. Otava 2000. [nF]."
"Jarry, Alfred","Kuningas Ubu eli puolalaiset",". 5-näytöksinen draama.","
<b>Kuningas Ubu eli puolalaiset</b>. (Ubu roi; Ubu enchaine, 1900). 
5-näytöksinen draama. Suom Pentti Holappa ja Olli-Matti Ronimus. WSOY 1967. [F]."
"Jefremov, Ivan","Andromedan tähtisumu",".  Esipuhe Jari Koponen.","
<b>Andromedan tähtisumu</b>. (Tumannostj Andromedy, 1961). Suom Markku Taberman 
& Veikko Rekunen. Esipuhe Jari Koponen. Ursan sf-sarja 5. Ursa 1984. [SF]."
"Jefremov, Ivan","Käärmeen sydän","- 4 novellia.","

<a href=""novkok/jef-ks.htm"">
<b>Käärmeen sydän</b></a> - 4 novellia. (Serdce zmei, 1947, 1959). Suom Salme 
Peterzens, Kerttu Juntunen ja Rudolf Sykiäinen. Vieraskielisen kirjallisuuden kustannusliike 1963. [SF,kok 2/4]."
"Jenkins, Geoffrey",Luurankorannikko,". (A Twist of Sand, )  1960.","

<b>Luurankorannikko</b>. (A Twist of Sand, 1959) Suom Aaro Vuoristo. WSOY 1960. [F,SF]."
"Jordan, Robert",Callandor,". osa.","
<b>Callandor</b>. Ajan Pyörän 6. osa. (The Dragon Reborn. Book Three of the 
Wheel of Time, luvut 30-56, 1991). Suom Marja Sinkkonen. Karisto 1999. [F]."
"Jordan, Robert","Hopeinen nuoli",". osa.","

<b>Hopeinen nuoli</b>. Ajan Pyörän 11. osa. (The Fires of Heaven. Book Five of 
the Wheel of Time, luvut 20-40, 1993). Suom Susanna Paarma. Karisto 2001. [F]."
"Jordan, Robert","Hämärän tienhaara",". osa.","

<b>Hämärän tienhaara</b>. Ajan Pyörän 22. osa. (Crossroads of Twilight. Book Ten of the 
Wheel of Time, luvut Prologi-15, 2003). Suom Susanna Paarma. Karisto 2006. [F]."
"Jordan, Robert","Kaaoksen valtias",". osa.","

<b>Kaaoksen valtias</b>. Ajan Pyörän 13. osa. (Lord of Chaos. Book Six of the 
Wheel of Time, luvut 1-11, 1994). Suom Susanna Paarma. Karisto 2002. [F]."
"Jordan, Robert",Keulakuva,". osa.","

<b>Keulakuva</b>. Ajan Pyörän 16. osa. (A Crown of Swords. Book Seven of the 
Wheel of Time, luvut 1-17, 1996). Suom Susanna Paarma. Karisto 2003. [F]."
"Jordan, Robert","Kultasilmä",". osa.","

<b>Kultasilmä</b>. Ajan Pyörän 9. osa. (The Shadow Rising. Book Four of the 
Wheel of Time, luvut 40-58, 1992). Suom Susanna Paarma. Karisto 2000. [F]."
"Jordan, Robert","Käsipuoli",". osa.","

<b>Käsipuoli</b>. Ajan Pyörän 25. osa. (Knife of Dreams. Book Eleven of 
the Wheel of Time, luvut 18-epilogi, 2005). Suom Susanna Paarma. Karisto 2007. [F]."
"Jordan, Robert","Lohikäärme herää",". osa.","

<b>Lohikäärme herää</b>. Ajan Pyörän 8. osa. (The Shadow Rising. Book Four of 
the Wheel of Time, luvut 22-39, 1992). Suom Susanna Paarma. Karisto 2000. [F]."
"Jordan, Robert","Lohikäärmeviiri",". osa.","

<b>Lohikäärmeviiri</b>. Ajan Pyörän 4. osa. (The Great Hunt. Book Two of the 
Wheel of Time, luvut 25-50, 1990). Suom Marja Sinkkonen. Karisto 1998. [F]."
"Jordan, Robert","Lähettiläät",". osa.","

<b>Lähettiläät</b>. Ajan Pyörän 14. osa. (Lord of Chaos. Book Six of the Wheel 
of Time, luvut 12-35, 1994). Suom Susanna Paarma. Karisto 2002. [F]."
"Jordan, Robert","Maailmansilmä",". osa.","

<b>Maailmansilmä</b>. Ajan Pyörän 2. osa. (The Eye of the World. Book One of the 
Wheel of Time, luvut 24-53, 1990). Suom Marja Sinkkonen. Karisto 1997. [F]."
"Jordan, Robert","Miekkojen kruunu",". osa.","

<b>Miekkojen kruunu</b>. Ajan Pyörän 17. osa. (A Crown of Swords. Book Seven of 
the Wheel of Time, luvut 18-41, 1996). Suom Susanna Paarma. Karisto 2003. [F]."
"Jordan, Robert","Mustan tornin miehet",". osa.","

<b>Mustan tornin miehet</b>. Ajan Pyörän 15. osa. (Lord of Chaos. Book Six of 
the Wheel of Time, luvut 36-55, 1994). Suom Susanna Paarma. Karisto 2002. [F]."
"Jordan, Robert","Pimeän varjo",". osa.","

<b>Pimeän varjo</b>. Ajan Pyörän 7. osa. (The Shadow Rising. Book Four of the 
Wheel of Time, luvut 1-21, 1992). Suom Marja Sinkkonen. Karisto 1999. [F]."
"Jordan, Robert",Sotaherra,". osa.","

<b>Sotaherra</b>. Ajan Pyörän 12. osa. (The Fires of Heaven. Book Five of the 
Wheel of Time, luvut 41-56, 1993). Suom Susanna Paarma. Karisto 2001. [F]."
"Jordan, Robert","Sydäntalvi",". osa.","

<b>Sydäntalvi</b>. Ajan Pyörän 20. osa. (Winter's Heart. Book Nine of the Wheel 
of Time, luvut prologi-13, 2000). Suom Susanna Paarma. Karisto 2005. [F]."
"Jordan, Robert","Taivaan tulet",". osa.","

<b>Taivaan tulet</b>. Ajan Pyörän 10. osa. (The Fires of Heaven. Book Five of 
the Wheel of Time, luvut 1-19, 1993). Suom Susanna Paarma. Karisto 2000. [F]."
"Jordan, Robert",Tikaripolku,". osa.","

<b>Tikaripolku</b>. Ajan Pyörän 19. osa. (The Path of Daggers. Book Eight of the 
Wheel of Time, luvut 15-31, 1998). Suom Susanna Paarma. Karisto 2005. [F]."
"Jordan, Robert","Tornin salaisuus",". osa.","

<b>Tornin salaisuus</b>. Ajan Pyörän 5. osa. (The Dragon Reborn. Book Three of 
the Wheel of Time, luvut 1-29, 1991). Suom Marja Sinkkonen. Karisto 1998. [F]."
"Jordan, Robert","Tuulten kulho",". osa.","

<b>Tuulten kulho</b>. Ajan Pyörän 18. osa. (The Path of Daggers. Book Eight of 
the Wheel of Time, luvut prologi-14, 1998). Suom Susanna Paarma. Karisto 2004. [F]."
"Jordan, Robert","Unten veitsi",". osa.","

<b>Unten veitsi</b>. Ajan Pyörän 24. osa. (Knife of Dreams. Book Eleven of 
the Wheel of Time, luvut prologi-17, 2005). Suom Susanna Paarma. Karisto 2007. [F]."
"Jordan, Robert","Vaarojen taival",". osa.","

<b>Vaarojen taival</b>. Ajan Pyörän 1. osa. (The Eye of the World. Book One of 
the Wheel of Time, luvut 1-23, 1990). Suom Marja Sinkkonen. Karisto 1996. [F]."
"Jordan, Robert","Vainajien kaupunki",". osa.","

<b>Vainajien kaupunki</b>. Ajan Pyörän 23. osa. (Crossroads of Twilight. Book Ten of the 
Wheel of Time, luvut 16-epilogi, 2003). Suom Susanna Paarma. Karisto 2006. [F]."
"Jordan, Robert","Valeren torvi",". osa.","

<b>Valeren torvi</b>. Ajan Pyörän 3. osa. (The Great Hunt. Book Two of the Wheel 
of Time, luvut 1-24, 1990). Suom Marja Sinkkonen. Karisto 1997. [F]."
"Jordan, Robert","Yhdeksän kuun tytär",". osa.","

<b>Yhdeksän kuun tytär</b>. Ajan Pyörän 21. osa. (Winter's Heart. Book Nine of the Wheel 
of Time, luvut 14-35, 2000). Suom Susanna Paarma. Karisto 2005. [F]."
"Joulukuun Ryhmä","Matka Neuvosto-Suomessa",". Kustannus 21 -","
<b>Matka Neuvosto-Suomessa</b>. Kustannus 21 - Lehtimiehet Oy 1984. [VEH]."
"Jyrkäs, Juha & Saloranta, Tuomas (toim.)","Ja hän huutaa",Splatterpunk-antologia.,"
<a href=""novkok/jyr-jh.htm"">
<b>Ja hän huutaa</b></a>. Splatterpunk-antologia. Aavetaajuus-kirjat 2. Tajunta Media 2014. [K,kok]."
"Kaaberbøl, Lene",Hopeahevonen,". Englanninkielestä suomentanut Annika Eräpuro.","
<b>Hopeahevonen</b>. Katrionan tarina 1. (Solvhesten, 1992). 
Englanninkielestä suomentanut Annika Eräpuro. Otava 2008. [nF]."
"Kaaberbøl, Lene","Keskiyö",". Englanninkielestä suomentanut Annika Eräpuro.","

<b>Keskiyö</b>. Katrionan tarina III. (Isfuglen, 2000). 
Englanninkielestä suomentanut Annika Eräpuro. Otava 2009. [nF]."
"Kaaberbøl, Lene","Kivinen haukka",". Ajan verkko 1.","

<b>Kivinen haukka</b>. Ajan verkko 1. W.I.T.C.H. -sarja #6. (Stenfalken, 2003). 
Suom Saara Hyyppä. Sanoma Magazines Finland Oy 2004. [nF]."
"Kaaberbøl, Lene","Kärppä",". Katrionan II tarina. Englanninkielestä suomentanut Annika Eräpuro.","

<b>Kärppä</b>. Katrionan II tarina. (Hermelinen, 1994). 
Englanninkielestä suomentanut Annika Eräpuro. Otava 2008. [nF]."
"Kaaberbøl, Lene","Käärmeen lahja",". Englanninkielestä suomentanut Annika Eräpuro.","

<b>Käärmeen lahja</b>. Näkijän kirja 3. (Slangens gave, 2001). 
Englanninkielestä suomentanut Annika Eräpuro. Otava 2005. [nF]."
"Kaaberbøl, Lene","Näkijän amuletti",". Englanninkielestä suomentanut Annika Eräpuro.","

<b>Näkijän amuletti</b>. Näkijän kirja 2. (Skammertegnet, 2001). 
Englanninkielestä suomentanut Annika Eräpuro. Otava 2005. [nF]."
"Kaaberbøl, Lene","Näkijän sota",". Englanninkielestä suomentanut Annika Eräpuro.","

<b>Näkijän sota</b>. Näkijän kirja 4. (Skammerkrigen, 2001). 
Englanninkielestä suomentanut Annika Eräpuro. Otava 2007. [nF]."
"Kaaberbøl, Lene","Näkijän tytär",". Englanninkielestä suomentanut Annika Eräpuro.","

<b>Näkijän tytär</b>. Näkijän kirja 1. (Skammerens Datter, 2000). 
Englanninkielestä suomentanut Annika Eräpuro. Otava 2005. [nF]."
"Kafka, Franz","Erään koiran tutkimuksia",Novelleja.,"
<a href=""novkok/kaf-ek.htm"">
<b>Erään koiran tutkimuksia</b></a>. Novelleja. (Novelleja kokoelmista: Beschreibung eines Kampfes, Erzählungen und kleine Prosa, Hochzeitsvorbereitungen). Toim Kai Laitinen. Suom Aarno Peromies. Seitsentähdet-sarja. Otava 1967. [F,kok]."
"Kafka, Franz","Keisarin viesti",". Novelleja.","

<b>Keisarin viesti</b>. Novelleja. (Erzählungen, Hochzeitsvorbereitungen auf dem 
Lande, Beschreibung eines Kampfes sekä TagebÜcher, 1910-1923). Toim Kai 
Laitinen. Suom Aarno Peromies. Seitsentähdet-sarja. Otava 1969. [F,kok]."
"Kafka, Franz","Nälkätaiteilija","Novelleja. Esipuhe Kai Laitinen.","

<a href=""novkok/kaf-nt.htm"">
<b>Nälkätaiteilija</b></a>. Novelleja. (Erzählungen und kleine Prosa ja Beschreibung 
eines Kampfes). Toim Kai Laitinen. Esipuhe Kai Laitinen. Suom Aarno Peromies, Kristiina 
Kivivuori ja Eeva-Liisa Manner. Kirjallinen löytöretki 5. Gummerus 1959. [F,kok]."
"Kaikkonen, Noora","Lauluja rubiininpunaisesta lammesta",". Runoja ja kuvituksia.","
<b>Lauluja rubiininpunaisesta lammesta</b>. Runoja ja kuvituksia. Kuoriaiskirjat 2019. [F]."
"Kapteeni Teräs","Petsamon rata - Isänmaallinen unelma",". Kirja","
<b>Petsamon rata - Isänmaallinen unelma</b>.  Kirja 1921. [SF]."
"Kapteeni Teräs","Suur-isänmaa",". Kirja","

<b>Suur-isänmaa</b>. Kirja 1918. [SF]."
"Kara, Jalmari K(asimir)","Mykkä paholainen",Kertomuksia.,"
<a href=""novkok/kar-mp.htm"">
<b>Mykkä paholainen</b></a>. Kertomuksia. Otava 1916. [SF,F,kok 2/7]."
"Karppanen, Pasi (toim.)",Genreblender,"ja Turun Science Fiction Seura ry.","
<a href=""novkok/kar-gb.htm"">
<b>Genreblender</b></a>. Turun yliopiston tieteiskulttuurikabinetti ry. ja Turun Science Fiction Seura ry. 2018. [SF/F,kok]."
"Karppanen, Pasi (toim.)","Spekulatiivinen Turku","ja Turun Science Fiction Seura ry.","

<a href=""novkok/kar-st.htm"">
<b>Spekulatiivinen Turku</b></a>. Turun yliopiston tieteiskulttuurikabinetti ry. ja Turun Science Fiction Seura ry. 2016. [SF/F,kok]."
"Karumo, Veikko","Olenko minä nyt kuussa?",". Oyen kirja","
<b>Olenko minä nyt kuussa?</b>. Oy Suomen kirja 1944. [SF]."
"Kilpi, Volter Adalbert","Gulliverin matka Fantomimian mantereelle",". Alkulause Vilhoi.","
<b>Gulliverin matka Fantomimian mantereelle</b>. Alkulause Vilho Suomi. Otava 1944. [SF]."
"King, D.L. (toim.)","Suloisin suudelma","Lumoavaa vampyyrierotiikkaa.","
<a href=""novkok/kin-ss.htm"">
<b>Suloisin suudelma</b></a>. Lumoavaa vampyyrierotiikkaa. (The Sweetest Kiss: Ravishing Vampire Erotica, 2009). Suom Milla Karvonen. Basam Shakti -sarja. Basam Books Oy 2011. [K,kok]."
"King, Stephen (Edwin)",Kirjoittamisesta,".  Runot suom Riku Juuti.","

<b>Kirjoittamisesta</b>. (On Writing. A Memoir of the Craft, 2000). Suom Ilkka Rekiaro. Runot suom Riku Juuti. Tammi 2000. [eiSF]."
"King, Stephen (Edwin)","Kuoleman käytävä",".  (1. painos ilmestyi  kuusiosaisena jatkokertomuksena). 2000.","

<b>Kuoleman käytävä</b>. (The Green Mile, 1996). Suom Heikki Kaskimies. (1. painos ilmestyi 1997 kuusiosaisena jatkokertomuksena). Tammi 2000. [K]."
"Kipling, Rudyard","Indian viidakoista 1-2",".   (1.osa) ja 1909 (2.osa).","

<b>Indian viidakoista 1-2</b>. (The Jungle Book, 1894 & The Second Jungle Book, 
1895). Suom Helmi Krohn. Otava 1898 (1.osa) ja 1909 (2.osa). [nF,kok]."
"Kipling, Rudyard","Pedon merkki ja muita kauhuja","Toim Juhani Hinkkanen..","

<a href=""novkok/kip-pm.htm"">
<b>Pedon merkki ja muita kauhuja</b></a>. Toim Juhani Hinkkanen. Suom Matti Rosvall. FAN-sarja. WSOY 1994. [K,F,kok]."
"Kirjo, Kari (salanimi?)","&quot;Tarzanin tytär&quot; Amazona",". I.p., i.v.","
<b>&quot;Tarzanin tytär&quot; Amazona</b>. I.p., i.v. (Todennäköisesti 1950-luvulta). [nF]."
"Kirkman, Robert & Bonansinga, Jay","Kuvernöörin tuho",". Osa 1.","

<b>Kuvernöörin tuho</b>. Osa 1. The Walking Dead. (The Walking Dead: The Fall of the Governor, Part One, 2013). 
Suom Marika Saastamoinen. Like 2016. [K]."
"Kirkman, Robert & Bonansinga, Jay","Kuvernöörin tuho",". Osa 2.","

<b>Kuvernöörin tuho</b>. Osa 2. The Walking Dead. (The Walking Dead: The Fall of the Governor, Part Two, 2014). 
Suom Marika Saastamoinen. Like 2016. [K]."
"Kivi, Aleksis",Vuoripeikot,". Kuvittanut Erkki Tanttu.","

<b>Vuoripeikot</b>. Kuvittanut Erkki Tanttu. Otava 1947. [satu]."
"Kliegel, Ludwig","Kultainen kuutio",". Kolmiosainen okkultinen romaani.","
<b>Kultainen kuutio</b>. Kolmiosainen okkultinen romaani. (Der Goldene Kubus. Ein okkulter Roman in drei Abteilungen, 1929). 
Suom Kyllikki Aspelin-Ignatius. Minerva 1930. [K]."
"Koivukoski, Tauno Immanuel","Paluu alkuun",". Oyen kirja","
<b>Paluu alkuun</b>. Oy Suomen kirja 1946. [SF]."
"Kotzwinkle, William",E.T.,"Perustuu Melissa Mathisonin filmikäsikirjoitukseen.","
<b>E.T.</b> (E.T. the Extra-terrestrial in His Adventure on Earth, 1982). 
Perustuu Melissa Mathisonin filmikäsikirjoitukseen. Suom Pekka Markkula. WSOY 1982. [nSF]."
"Krohn, Leena (Elisabet)","3 sokeaa miestä","ja 1 näkevä.","

<b>3 sokeaa miestä</b> ja 1 näkevä. WSOY 2003. [esseekokoelma]."
"Krohn, Leena (Elisabet)","Mehiläispaviljonki",". Kertomus parvista.","

<b>Mehiläispaviljonki</b>. Kertomus parvista. Teos 2006. [F]."
"Krohn, Leena (Elisabet)",Salaisuuksia,"Kuvittanut Inari Krohn.","

<a href=""novkok/kro-sa.htm"">
<b>Salaisuuksia</b></a>. Kuvittanut Inari Krohn. Kirjayhtymä 1992. [nF,kok]."
"Krull, Hasso","Meter ja Demeter",". Eepos.","
<b>Meter ja Demeter</b>. Eepos. (Meeter ja Demeeter. Eepos, 2004). Suom Anu Laitila. WSOY 2009. [F]."
"Kujala, Kalervo","Kun Ruotsi pysähtyi",". (Ruotsi)","
<b>Kun Ruotsi pysähtyi</b>. Finn-Kirja (Ruotsi) 1977. [PF,SF]."
"Kuznetsov, Boris","Matka halki aikojen",". Kreivi Cagliostron muistelmat sekä hänen muistiinpanonsa keskusteluista Aristoteleen, Danten, Puskinin, Einsteinin ja monien muiden aikalaisten kanssa.","
<b>Matka halki aikojen</b>. Kreivi Cagliostron muistelmat sekä hänen 
muistiinpanonsa keskusteluista Aristoteleen, Danten, Puskinin, Einsteinin ja 
monien muiden aikalaisten kanssa. (Putesestvije tserez epohi, 1975). Suom Veikko 
Airola. Progress 1980. [F]."
"Lagerlöf, Selma","Peukaloisen retket villihanhien maassa 1-2",".   ja 1907.","

<b>Peukaloisen retket villihanhien maassa 1-2</b>. (Nils Holgerssons underbara 
resa genom Sverige 1-2, 1906-07). Suom Juhani Aho. WSOY 1906 ja 1907. [nF]."
"Laulajainen, Leena","Pii ja Ametisti",". Matka ajan halki.","

<b>Pii ja Ametisti</b>. Matka ajan halki. Tammi 1994. [nF]."
"Le Queux, William Tufnell","Zoraida. Erämaan kuningatar",".  Ilmestyi 3 vihkona.","
<b>Zoraida. Erämaan kuningatar</b>. (Zoraida; A Romance of the Harem and the 
Great Sahara, 1895). Suom F.Hj. Hellstén. Ilmestyi 3 vihkona. E. Wilh. Michelsson 1899. [F]."
"Lee, Tanith","Pedon sydän",". &","
<b>Pedon sydän</b>. (Heart-Beast, 1992). Suom Sari Kallioinen & Anita Puumalainen. FAN-sarja. WSOY 1994. [K]."
"Lee, Tanith","Pimeyden tytär",". &","

<b>Pimeyden tytär</b>. (Dark Dance, 1992). Suom Sari Kallioinen & Anita Puumalainen. WSOY 1993. [K]."
"Lehikoinen, Heikki","Kuningas Faravidin testamentti",". Sukelluslabradori Tufunus tutkii 1. Kuvitus Emmi Jormalainen.","
<b>Kuningas Faravidin testamentti</b>. Sukelluslabradori Tufunus tutkii 1. Kuvitus Emmi Jormalainen. Kustannusosakeyhtiö Teos 2016. [nF]."
"Lehikoinen, Heikki","Tufunus avaruudessa",". Sukelluslabradori Tufunus tutkii 2. Kuvitus Emmi Jormalainen.","

<b>Tufunus avaruudessa</b>. Sukelluslabradori Tufunus tutkii 2. Kuvitus Emmi Jormalainen. Kustannusosakeyhtiö Teos 2019. [nF]."
"Leinonen, Anne","Valkeita lankoja","Tarinoita toisista todellisuuksista.","

<a href=""novkok/lei-vl.htm"">
<b>Valkeita lankoja</b></a>. Tarinoita toisista todellisuuksista. WSOY 2006. [SF,F,kok]."
"Leinonen, Anne & Saloranta, Tuomas Suomi (toim.)","Mustaa lihaa",Kyberpunk-antologia.,"
<a href=""novkok/lei-ml.htm"">
<b>Mustaa lihaa</b></a>. Kyberpunk-antologia. Suomen tieteis- ja fantasiakirjoittajat ry 2013. [SF,kok]."
"Suntila, Shimo & Leinonen, Anne & Saloranta, Tuomas Suomi (toim.)","Hurtan koodeksi","Boris Hurtan 25-vuotistaiteilijajuhlakirja.","
<a href=""novkok/lei-hk.htm"">
<b>Hurtan koodeksi</b></a>. Boris Hurtan 25-vuotistaiteilijajuhlakirja. Suomen tieteis- ja fantasiakirjoittajat ry 2013. [K,kok]."
"Leisko, Satu","Unohtunut kansa",". Selkokielinen.","
<b>Unohtunut kansa</b>. Selkokielinen. Oppimateriaalikeskus Opike 2018. [nF]."
"Leisko, Satu","Unohtunut maa",". Selkokielinen.","

<b>Unohtunut maa</b>. Selkokielinen. Oppimateriaalikeskus Opike 2014. [nF]."
"Leisko, Satu","Unohtunut poika",". Selkokielinen.","

<b>Unohtunut poika</b>. Selkokielinen. Oppimateriaalikeskus Opike 2017. [nF]."
"Leppänen, Erkka","Kirotun maan ritari","Kuvitus Petri Hiltunen."," 
<a href=""novkok/lep-km.htm"">
<b>Kirotun maan ritari</b></a>. Kuvitus Petri Hiltunen. Vaskikirjat 2016. [F,kok]."
"Lewis, C(live) S(taples)","Kasvoista kasvoihin: Tarina rakkaudesta",". Esipuhe Risto Saarinen.","

<b>Kasvoista kasvoihin: Tarina rakkaudesta</b>. (Till We Have Faces: A Myth Retold, 1956). Esipuhe Risto Saarinen. Suom Kirsi Nisula. Kirjapaja 2013. [F]."
"Lewis, C(live) S(taples)","Narnian tarinat",". Yhteisnide. Kuvittanut Pauline Baynes.","

<b>Narnian tarinat</b>. Yhteisnide. (The Complete Chronicles of Narnia, 1998). Kuvittanut Pauline Baynes. Suom Kaarina Helakisa ja Kyllikki Hämäläinen. Otava 2000. [nF]."
