creator_str,title,misc,imported_string
"Brand, Russell","Hamelnin pillipiipari",". Kuvitus Chris Riddell.","
<b>Hamelnin pillipiipari</b>. (Russell Brand's Trickster Tales: The Pied Piper of Hamelin, 2014). Kuvitus Chris Riddell. Suom Tuomas Nevanlinna. Kustannus Jalava 2016. [SF]."
"Brooks, Terry (/Terence Dean)","Pimeä uhka",". Episodi 1..","
<b>Pimeä uhka</b>. Star Wars. Episodi 1. (Star Wars. Episode 1. The Phantom 
Menace, 1999). Suom Ilkka Äärelä. WSOY 1999. [SF]."
"Bulgakov, Mihail","Kohtalokkaat munat","Valinnut ja  Satiireja ja muistelmia.","
<a href=""novkok/bul-km.htm"">
<b>Kohtalokkaat munat</b></a>. Satiireja ja muistelmia. Valinnut ja suom Esa Adrian. Aikamme kertojia. WSOY 1975. [SF,kok 3/4]."
"Caine, (Sir Thomas Henry) Hall","Valkoinen profeetta",". 1-2 osaa.","
<b>Valkoinen profeetta</b>. (The White Prophet, 1909). 1-2 osaa. Suom Werner 
Anttila. Merkkiteoksia maailman kirjallisuudesta 3:1. WSOY 1909. [F,PF]."
"Card, Orson Scott",Ender,".. Esipuhe Anetta Meriranta.","
<b>Ender</b>. (Ender's Game, 1985). Suom Veikko Rekunen. Esipuhe Anetta Meriranta. Ursan sf-sarja 14. Ursa 1990. [SF]."
"Card, Orson Scott","Kuolleiden puolustaja",".. Esipuhe Anetta Meriranta.","

<b>Kuolleiden puolustaja</b>. (Speaker for the Dead, 1986). Suom Veikko Rekunen. Esipuhe Anetta Meriranta. Ursan sf-sarja 17. Ursa 1991. [SF]."
"Carroll, Lewis","Liisan seikkailut peilimaassa",". Yhteislaitos ""Liisan seikkailut ihmemaassa - Liisan seikkailut peilimaassa""","

<b>Liisan seikkailut peilimaassa</b>. Yhteislaitos ""Liisan seikkailut ihmemaassa - Liisan seikkailut peilimaassa""
(Through the Looking-glass, 1871). Suom Kirsi Kunnas ja Eeva-Liisa Manner. Klassikko-sarja. Gummerus 1974."
"Carter, Nick",Kaksoisolento,"<h2>Carter, Nick (oik. Bruce Algozin)</h2> (The Last Samurai, ).  1985.","

<h2>Carter, Nick (oik. Bruce Algozin)</h2>
<b>Kaksoisolento</b>. (The Last Samurai, 1982). Suom Jukka Heiskanen. Nick Carter 142. Winthers Forlag 1985. [SF]."
"Carter, Nick","Sininen kuolema","<h2>Carter, Nick (oik. Nicholas Browne)</h2> (The Bright Blue Death, ).  1971.","

<h2>Carter, Nick (oik. Nicholas Browne)</h2>
<b>Sininen kuolema</b>. (The Bright Blue Death, 1967). Suom Aila Virtanen. Nick Carter 25. Viihdekirjat 1971. [SF]."
"Carter, Nick",Kuualus,"<h2>Carter, Nick (oik. Lew Louderback)</h2> (Operation Moon Rocket, ).  1972.","

<h2>Carter, Nick (oik. Lew Louderback)</h2>
<b>Kuualus</b>. (Operation Moon Rocket, 1968). Suom L. Lester. Nick Carter 34. Viihdekirjat 1972. [SF]."
"Carter, Nick","Elävät kuolleet","<h2>Carter, Nick (oik. Jon Messman)</h2> (The Living Death, ).  1973.","

<h2>Carter, Nick (oik. Jon Messman)</h2>
<b>Elävät kuolleet</b>. (The Living Death, 1969). Suom T. Pihlasvalo. Nick Carter 41. Viihdekirjat 1973. [SF]."
"Carter, Nick",Robotti!,"<h2>Carter, Nick (oik. William Rohde)</h2> (The Human Time Bomb, ).  1976.","

<h2>Carter, Nick (oik. William Rohde)</h2>
<b>Robotti!</b>. (The Human Time Bomb, 1969). Suom Matti Hossa. Nick Carter 54. Viihdekirjat 1976. [SF]."
"Carter, Nick","Kaksinaamainen peli","<h2>Carter, Nick (oik. Martin Cruz Smith) (Yhdysvallat, -)</h2> (The Devil's Dozen, 1973).  1978.","

<h2>Carter, Nick (oik. Martin Cruz Smith) (Yhdysvallat, 1942-)</h2>
<b>Kaksinaamainen peli</b>. (The Devil's Dozen, 1973). Suom Sirkka Salonen. Nick Carter 79. Viihdekirjat 1978. [SF]."
"Carter, Nick","Kun maa tärisi","<h2>Carter, Nick (oik. John Stevenson)</h2> (The Q-Man, ).  1983.","

<h2>Carter, Nick (oik. John Stevenson)</h2>
<b>Kun maa tärisi</b>. (The Q-Man, 1981). Suom Jukka Heiskanen. Nick Carter 117. Wennerbergs Förlag 1983. [SF]."
"Carter, Nick","Tappava kärpänen","<h2>Carter, Nick (oik. Robert E. Vardeman)</h2> (Doctor DNA, ).  1985.","

<h2>Carter, Nick (oik. Robert E. Vardeman)</h2>
<b>Tappava kärpänen</b>. (Doctor DNA, 1982). Suom Tarmo Haarala. Nick Carter 147. Winthers Forlag 1985. [SF]."
"Carter, Nick","Kolme päivää armonaikaa","<h2>Carter, Nick (oik. George Warren)</h2> (The Doomday Spore, ).  1981.","

<h2>Carter, Nick (oik. George Warren)</h2>
<b>Kolme päivää armonaikaa</b>. (The Doomday Spore, 1979). Suom Maire Nopanen. Nick Carter 100. Wennerbergs Förlag 1981. [SF]."
"Clare, Cassandra","Varjojen kaupungit I-III",". Sisältää kirjat Luukaupunki, Tuhkakaupunki ja Lasikaupunki.","

<b>Varjojen kaupungit I-III</b>. Sisältää kirjat Luukaupunki, Tuhkakaupunki ja Lasikaupunki. 
Suom Terhi Leskinen. Otava 2013. [F]."
"Clare, Cassandra","Varjojen kaupungit IV-VI",". Sisältää kirjat Langenneiden enkelten kaupunki, Kadotettujen sielujen kaupunki ja Taivaallisen tulen kaupunki.","

<b>Varjojen kaupungit IV-VI</b>. Sisältää kirjat Langenneiden enkelten kaupunki, Kadotettujen sielujen kaupunki ja Taivaallisen tulen kaupunki. Suom Terhi Leskinen. Otava 2015. [F]."
"Clark, Alfred","Hugh Harrodin ihmeelliset seikkailut. Totta vai untako",". (A Dark Place of the Earth, ) 1922.","
<b>Hugh Harrodin ihmeelliset seikkailut. Totta vai untako</b>. (A Dark Place of the Earth, 1891) Tähtisarja 18. Otava 1922. [F]."
"Clarke, Arthur C(harles)","Tuuli auringosta","Toim Juhani Hinkkanen..","

<a href=""novkok/cla-tu.htm"">
<b>Tuuli auringosta</b></a>. Toim Juhani Hinkkanen. Suom Ilkka Äärelä. Sci-fi -sarja. WSOY 1996. [SF,kok]."
"Clement, Hal","Painovoima 700",".. Esipuhe Jari Koponen.","
<b>Painovoima 700</b>. (Mission of Gravity, 1954). Suom Veikko Rekunen. Esipuhe Jari Koponen. Ursan sf-sarja 4. Ursa 1983. [SF]."
"Colfer, Eoin","Mestarin kosto",". kirja.","

<b>Mestarin kosto</b>. W.A.R.P. 3. kirja. (W.A.R.P. Book 3: The Forever Man, 2015). Suom Jaakko Kankaanpää. WSOY 2015. [nSF]."
"Colfer, Eoin","Pyövelin vallankumous",". kirja.","

<b>Pyövelin vallankumous</b>. W.A.R.P. 2. kirja. (W.A.R.P. Book 2: The Hangman's Revolution, 2014). Suom Jaakko Kankaanpää. WSOY 2014. [nSF]."
"Colfer, Eoin","Salamurhaajan oppipoika",". kirja.","

<b>Salamurhaajan oppipoika</b>. W.A.R.P. 1. kirja. (W.A.R.P. Book 1: The Reluctant Assassin, 2013). Suom Jaakko Kankaanpää. WSOY 2013. [nSF]."
"Colfer, Eoin","Vielä yksi juttu...",". Douglas Adamsin Linnunradan käsikirja liftareille -trilogian kuudes osa.","

<b>Vielä yksi juttu...</b>. Douglas Adamsin Linnunradan käsikirja liftareille -trilogian kuudes osa. (And Another Thing, 2009). Suom Jaakko Kankaanpää. WSOY 2009. [SF]."
"Collins, (William) Wilkie","John Jagon henki tahi Kuollutko wai eläwä?","(John Jago's Ghost, )  Kaunokirjallisuutta ulosannettuna G.W. Edlundin kustannuksella 3. 1880.","
<b>John Jagon henki tahi Kuollutko wai eläwä?</b> (John Jago's Ghost, 1874) Suom 
A.O. Forssman. Kaunokirjallisuutta ulosannettuna G.W. Edlundin kustannuksella 3. G.W. Edlund 1880. [K]."
"Collins, (William) Wilkie","Jäätyneellä syvyydellä",": draamallinen kertomus 5 kohtauksessa.","

<b>Jäätyneellä syvyydellä</b>: draamallinen kertomus 5 kohtauksessa. (The Frozen Deep, 1874). Suom Elisabet Löfgren. Suomalaisen Kirjallisuuden Seuran Kirjapaino 1877. [F]."
"Cooper, Susan (Mary)","Viheriä noita",".  Runot suom Panu Pekkanen.","

<b>Viheriä noita</b>. Pimeä nousee 3. (Greenwitch, 197). Suom Kristiina Rikman. Runot suom Panu Pekkanen. WSOY 1980. [nF]."
"Crawford, Francis Marion","Ajattomat aaveet",().,"
<a href=""novkok/cra-aa.htm"">
<b>Ajattomat aaveet</b></a>. (). Suom Johanna Vainikainen-Uusitalo ja Laura Nieminen. Vaskikirjat 2016. [K,kok]."
"Cunningham, Michael","Villijoutsenet ja muita kertomuksia","Kuvittanut Yuko Shimizu.","

<a href=""novkok/cun-vj.htm"">
<b>Villijoutsenet ja muita kertomuksia</b></a>. (A Wild Swan and Other Tales, 2015). Kuvittanut Yuko Shimizu. Suom Kristiina Drews. Gummerus 2016. [F,kok]."
